Nîmes	378685	4.3527164	43.8322603
Béost	2092425	-0.3183785	42.9713080
Créot	1169800	4.6106561	46.9154940
Évans	148702	5.7643644	47.1796098
Rhône	4850451	4.5645336	45.8802348
Torcé	146422	-1.2715195	48.0632162
Évora	5402589	-7.9103561	38.5545021
Carrù	43194	7.8519650	44.4812926
Lèves	274139	1.4681132	48.4800739
Broué	2100376	1.5254717	48.7518954
Messé	150150	0.1108231	46.2598982
Fayón	345467	0.3126742	41.2632197
Kolín	441253	15.1984754	50.0315673
Nézel	145561	1.8389914	48.9425365
Néret	2146841	2.1417133	46.5709037
Mézel	365338	6.1791858	43.9979514
Orçay	214566	2.1252644	47.3076829
Ivorá	242328	-53.5827221	-29.5100000
Narón	346499	-8.1565394	43.5317564
Szőlősardó	1317817	20.6325257	48.4479817
Rügge	1149230	9.7687600	54.6856529
Brüel	449949	11.6926235	53.7233409
Gétye	1358262	17.0744025	46.7639323
Tákos	1456925	22.4090253	48.1542931
Forès	341702	1.2389387	41.4968401
Netín	441736	15.9524350	49.4152992
Peñol	1343259	-75.2363535	6.2541153
Avión	340029	-8.2655242	42.3873018
Izsák	1130360	19.3720853	46.8035603
Sögel	1744936	7.4995902	52.8389018
Köcsk	1132241	17.1115520	47.1867135
Düzce	223460	31.2981820	40.9598333
Baa	6599335	72.8532558	4.8806627
Čejov	441085	15.3854528	49.5646187
Valkó	1379825	19.4995907	47.5546111
Sertã	5396190	-8.0970902	39.8379234
Újszász	1323403	20.0474197	47.2729656
Bømlo	404170	5.0484753	59.7036840
Okány	1026201	21.3543478	46.8945752
Smědčice	439789	13.5156710	49.8012633
Káloz	1402814	18.4772653	46.9484379
Mokré	440081	16.0618360	50.2579038
Strážov	436208	13.2520373	49.2922877
Évora	5130767	-7.9571934	38.5906962
Piúma	1826739	-40.7612328	-20.8385385
Bzová	436154	13.8420964	49.9065910
Železná	441236	14.0879156	50.0088860
Levín	436554	14.2891404	50.6168398
Hoźna	7006879	23.5173344	52.9817360
Kamýk	439676	14.0814556	50.5656922
Kenéz	1131315	16.7906327	47.2072286
Jutaí	332506	-68.2418281	-4.5065000
Zhepë	1252293	20.2375832	40.6842381
Maipú	168259	-70.8093870	-33.5148403
Ypané	6601486	-57.5114917	-25.4601627
Rhône	1691018	6.9782547	46.2578763
Gżira	7510588	14.4923419	35.9051664
Løken	6359681	9.4723417	59.6735562
Żabików	5390986	19.6213323	52.2703376
Évora	6439506	-7.9082171	38.5722402
Sertã	5533563	-8.0828232	39.8243722
Ansjö	2684991	16.0805148	62.9498839
Numão	6393406	-7.2834518	41.1052973
Ślepe	4488491	23.0299072	53.8914416
Ryżówka	6814757	23.1239366	54.0847154
Máđiiláttu	7243393	23.8450077	69.3137789
Gölet	7280510	29.2785857	40.9539668
Gölet	6824395	28.5383529	41.0013307
ež. Gilūšis	2897596	24.6244029	54.5553001
Tõlla	3872253	25.1964724	58.2122561
Gjógv	2402125	-6.9539784	62.3196361
Manëz	1249884	19.5840555	41.4452817
Víska	440433	15.6448501	49.7727351
Bømlo	7668080	5.1866408	59.8011502
Bøyna	5897536	7.1309265	62.8252467
Wódki	4096156	17.6495983	52.3829005
Maipú	5294831	-64.1595673	-31.4360352
Võhma	2133245	25.5533616	58.6305169
Área 27	4683311	-65.1044516	-43.3004046
Área 17	6407499	-65.0942119	-43.2961016
Vyšná Jedľová	2321612	21.5449801	49.3520986
Hüüru küla	351420	24.5366577	59.3821625
Jutaí	6205893	-40.2550287	-8.6595877
Jutaí	6251150	-68.2418281	-4.5065000
Piúma	1875639	-40.7551674	-20.8201502
Navió	5713315	-8.6103560	41.6670938
Säter	2743804	17.4514016	62.4243853
Cosío	5605705	-102.3120086	22.3705155
Leżne	6628040	20.9794125	51.7604468
Wólka	6848116	23.2015473	53.5444497
Wólka	7106300	23.1564712	53.0001718
Wólka	6817062	22.5900656	54.2050347
Limża	6878692	19.2164604	53.6028153
Taizé	106241	4.6721349	46.5103715
Wólka	6839216	23.3582403	53.5401092
Nowy Błędów	6631099	20.6828277	51.7622425
Fårup	6609213	9.8468840	56.5462313
Wólka	6152179	20.4388233	50.6380875
Wólka	6817877	22.7292246	54.0456425
Wólka	3783271	21.6800890	51.2118429
Dolný Čepeň	2205495	17.7340632	48.2967426
Strážov	1859529	18.6953299	49.2377321
Mojín	2274652	19.9629661	48.3392724
Strážky	2275477	20.4389252	49.1736725
Vyšná Jedľová	2321573	21.5449801	49.3520986
Perín	2384618	21.1679890	48.5477979
Könen	5781048	6.5510437	49.6802839
Kamýk	433251	14.4375479	50.0143942
Malá Čermná	431142	16.2275843	50.4489543
Mokré	428535	16.0618360	50.2579038
Rudné	423266	12.6767382	50.3606516
Košov	427659	15.3411315	50.5170403
Wólka	6881031	19.7304877	53.4407048
Komín	431111	16.5503192	49.2328506
Výsonín	428094	15.8229060	49.8769875
Netín	431908	15.9514798	49.4121816
Rájov	434920	14.3724986	48.8466009
Řakom	424000	13.2127187	49.4309176
Víska	424085	13.6628246	49.4901886
Perín	3483303	-1.1200331	37.6216368
Smědčice	425472	13.5156710	49.8012633
Kolín	427179	15.1997092	50.0288560
Blížňovice	430886	15.9528400	49.9587033
Čejov	434940	15.3854528	49.5646187
Železná	428871	14.0879156	50.0088860
Srbín	427666	14.7449466	49.9818762
II-E	1744165	121.3253323	14.0650689
II-F	1744166	121.3224411	14.0609892
Rögen	6022184	11.0180960	50.2610500
Wólka	6863105	22.2793973	53.5939082
Żdżarka	7078402	23.4205995	51.4621364
Wólka	4239802	20.7117030	52.2855166
Wólka	4635338	20.1021127	50.9993956
Wólka	7433512	22.8729532	50.9093078
Wólka	6898293	23.2915758	52.7272790
Aba	1402808	18.5097009	47.0678089
Wólka	6853869	22.4184357	50.4579315
Wólka	6776155	23.5143364	52.8215108
Wólka	7616843	22.6410094	51.2649652
Wólka	6967215	21.8015946	49.5491724
Čekoniškės	6027038	25.0826775	54.7353769
Dodów	5698004	20.2045465	50.2727706
Świnków	4457465	20.4051868	51.0774758
Króle	5206317	19.9708927	49.3169396
El Tío	6523084	-62.8304352	-31.3831127
Hörle	4096584	9.0760691	51.4509272
Senés	344506	-2.3281700	37.2009738
Sarín	1968049	-77.9263227	-7.9188576
Martí	5875982	-80.8388976	22.9895793
Iruña	6604962	-55.0640249	-26.1104825
