Oberrœdern	1153561	7.9704500	48.9278287
Tousson	1419481	2.4555113	48.3454165
Brécy-Brières	2746188	4.7522173	49.3355771
Chapinería	340942	-4.2160097	40.3695619
Malešovice	442044	16.4895871	49.0244097
Benalauría	341439	-5.2489300	36.5828846
Gräfelfing	2168243	11.4359326	48.1221493
Wettrup	2006837	7.5945986	52.5943825
Zborovy	438262	13.5181054	49.3773036
gmina Oława	2953627	17.2358199	50.9238921
Großbeeren	55769	13.3280365	52.3645181
Groß Rheide	1157539	9.4279600	54.4412511
Ho-Ho-Kus	170631	-74.0971706	40.9991494
Lac Édouard	1944491	-70.6852820	48.5886236
Backetjärn	2655537	11.6176027	58.7711376
Szullai-tó	4033870	18.9449660	47.1492651
Brännträsket	5435185	21.0570712	64.8833854
Águas Belas	6364306	-7.1539475	40.3831306
Águas Belas	6458526	-8.2879420	39.7174898
Gambela 2	5761518	27.4741241	-11.6271335
Czerńczyce	6375455	16.7594922	50.9666918
Czerńczyce	6407884	16.9541172	50.6165230
Brännträsket	392414	20.3990437	65.5898156
Sikkájávrrit	5359307	28.8934330	70.0617427
Eirrájávrrit	7246391	23.7742177	69.4551590
Roxbury	451327	-72.1964893	42.9535850
Lac Foligné	1468818	-74.0892759	47.0662380
Lac Foligné	910404	-77.7431266	46.5866737
Lac Édouard	1593771	-69.8057176	48.2720066
Lac Édouard	3391453	-69.4827460	49.1862696
Lac Édouard	7501240	-64.3093327	50.4043467
Lac Beaupré	1519471	-73.6352444	47.4564808
Lac Édouard	1521341	-73.9564664	48.0144372
Lac Beaupré	2622791	-63.6319572	55.2145278
Morzyszów	6418658	16.6955158	50.4914777
Feragshåen	6841647	11.8709952	62.4819142
Kobbevågen	3906628	5.0311293	60.1952910
Szymany	6859857	22.5335103	53.6313661
Nowa Juńcza	7624924	17.9961504	53.8419759
Sector 29	3585181	77.0656456	28.4681053
Sector 65	5810652	77.0692483	28.4042406
Sector 74	3611776	77.0111098	28.4122505
Sector 56	3586262	77.0982361	28.4263993
Sector 92	3613076	76.9164823	28.4106333
Sector 83	3611523	76.9728890	28.3953809
Águas Belas	6199916	-37.0711294	-9.1610056
Marjamäe küla	353748	25.9827688	58.1242599
Sector 29	2826715	77.0222036	28.5470697
Sector 38	3603990	77.0407868	28.4366435
Bahía Nueva	4679418	-65.0413514	-42.7794689
창4동 (Chang4-dong)	3883070	127.0513832	37.6514545
Koldamäe küla	354444	27.3910961	59.1265291
Malá Lehota	2257543	18.5600625	48.5022290
수성1가동 (Suseong 1-ga-dong)	3960912	128.6109155	35.8555366
Großbeeren	5226083	13.2888976	52.3495424
Liptovská Lúžna	2168198	19.3342197	48.9314367
Määsovitsa küla	352228	27.6689808	57.9683275
Sunport	5670377	134.0464174	34.3530535
Wronowo	6805570	22.8019264	53.9461381
Vesyoly	3468444	39.3543498	44.5037533
Kruszew	6635916	20.7892149	51.9210689
Bajo Aragón	6630546	-0.2099553	40.9544550
Rodilândia	5522052	-43.5130743	-22.7348842
Sector 38	3513091	77.0539895	28.7334250
Sector 29	3512934	77.0891706	28.7649367
Liptovská Lúžna	2230305	19.3342197	48.9314367
Malá Lehota	2257518	18.5600625	48.5022290
Sector 47	3606765	77.0470865	28.4255406
Cadeby CP	1271124	-1.2206584	53.4991069
Lipí u Náchoda	429593	16.1723315	50.3892774
Malešovice	432668	16.4895871	49.0244097
Poutnov	425636	12.8427788	50.0235770
Běleč u Mladé Vožice	427387	14.8443928	49.5506808
Vračkovice	427106	14.9292548	49.6137732
Águas Belas	3343495	-49.1912341	-25.5305356
Zborovy	424196	13.5181054	49.3773036
Kłudzienko	2388037	20.6241588	52.1543695
Águas Belas	303601	-37.0631535	-9.1024894
Przyjmo	6249833	20.5085458	50.9854045
Szymany	6863755	22.2815821	53.4464238
Schloßberg	6954063	11.0994829	49.1108242
Pod Brzozówką	3274091	19.9043006	50.1671322
RPN Rimba	7413160	114.9135418	4.9630901
Karkamış Baraj Gölü	2874388	38.0027336	36.9627245
Orališkiai	7457074	25.5649641	55.0541183
náměstí Svobody	5901276	13.8863727	49.1658853
náměstí Svobody	4425516	13.5200192	49.2311347
Czerńczyce	6099660	16.2162301	51.6205316
