Laberlière	1392183	2.7665953	49.5750663
Valcabrère	1453925	0.5880405	43.0299090
Ronssoy	3347849	3.1683874	49.9809552
Troissy	1802485	3.7026584	49.0731522
Almenêches	3298635	0.1244089	48.6974088
Pontoux	3187763	5.1180038	46.9114791
Strozza	46051	9.5802416	45.7702936
Wissous	395488	2.3303636	48.7313213
Esclanèdes	283817	3.3598292	44.4842109
Bütgenbach	2435381	6.2215827	50.4625115
Drávacsehi	575105	18.1574706	45.8061645
Mandaguaçu	297649	-52.0453971	-23.2859496
Großenhain	551159	13.4939222	51.3234643
Haapajärvi	2525917	25.2998354	63.7621454
Tzitzio	5606571	-100.9117309	19.4264256
Inje-gun	2505636	128.2468998	38.0948829
Nyírmihálydi	1447635	21.9725635	47.7327457
Hrdějovice	437831	14.4575342	49.0279989
Apácatorna	1078482	17.2945876	47.1063245
Oberreißen	2856459	11.4071981	51.0827942
La Berlière	3283816	4.9404125	49.5263186
gmina Miłki	2979007	21.8361656	53.9307012
Haapajärvi	299912	28.8259435	63.6548754
Haapajärvi	405970	26.9985535	63.5497500
Haapajärvi	5144859	28.2974518	60.9226739
Biggejávri	7207573	23.4604606	69.3316036
Smyslov	3868236	13.8093043	49.4188886
Björntjärnen	1616792	16.2891791	60.3986223
Haapajärvi	88352	25.9381809	62.5081264
Gągolin Północny	3950013	20.0625267	52.1809372
Várzea da Roça	362348	-40.0775909	-11.6008985
Porsöfjärden	2374654	22.1583647	65.6198530
Kråkåsvatnet	5157925	11.2418155	63.9056708
Mirosławki	7006290	16.6447251	52.3143913
Leśna Rzeka	2615696	21.6328305	51.5350911
Ostrowo	7245081	22.4556672	54.2739211
Suszyna	6410638	16.5244007	50.4733581
Haapajärvi	7323719	23.8401057	63.3986631
Haapajärvi	6810399	23.4300357	63.3180840
Haapajärvi	78955	24.4853358	60.8615867
Gámmečohkajávri	7216442	23.7039126	69.5690700
ež. Galinis	3444102	25.3901140	55.0801723
Lac Guénard	1517313	-73.7942119	46.9823089
Lac Argenté	900206	-74.4647114	45.8604165
Rivière Régis	3364397	-67.8338924	50.2706789
Lac Argenté	1504362	-72.9244089	47.5122467
Jacuí Delta	86833	-51.2178587	-29.9811176
Kuczyny	6897549	22.1492572	53.4069458
Långviksskär	5823084	18.7981107	59.1508898
Vysoká Libyně	439704	13.4711188	50.0259184
Vyzhyne	7397219	29.4958439	47.4170534
Krasnołany	2583747	19.0381057	51.9245364
Wypychy	6862464	22.3666909	53.3762786
St. David	126185	-90.0536401	40.4913359
Rebasmäe küla	353940	27.4121378	57.9478292
Meegomäe küla	351020	27.0214655	57.8023052
Liinamäe küla	355359	27.4183307	57.8555150
Vaalimäe küla	352044	27.0863521	57.6630262
Sector 67	5810644	77.0612028	28.3865831
Sector 49	3606794	77.0493603	28.4113694
Sector 85	3611525	76.9527469	28.4041751
Sector 58	5807690	77.1100447	28.4187349
Altolândia	5194258	-46.2159743	-19.8616839
Sector 94	3613078	76.9300403	28.4212875
Roça Grande	5205483	-42.9740023	-21.5960001
창5동 (Chang5-dong)	3883071	127.0429031	37.6559666
Zubtsov	3573154	34.5832589	56.1708215
Rządz Delta	2614140	18.7066159	53.4441286
Bajo La Viña	6412425	-65.2841742	-24.1800745
Dubber ED	5470019	-6.2960007	53.4264126
Zaturyn	3166997	25.0588328	49.1758894
Ostap'je	3167320	26.0402464	49.3778742
Kurnyky	3167128	25.6559705	49.6269412
Wypychy	6921680	22.9404297	52.8619504
Turnovo	6867557	22.7718245	41.4404422
Voykovo	5943119	39.8476307	48.7032023
Pogorzałki	7097750	22.9428804	53.2224236
Niekłań Wielki	3830701	20.6614815	51.1872624
Starościce	6862237	22.8759042	51.2054202
Turzany	6109471	16.7660496	51.4537530
Wood of O	4182568	-7.4159779	53.3002601
Bleiwäsche	5532180	8.7293747	51.4777160
Vysoká Libyně	425278	13.4711188	50.0259184
Rákoscsaba	3239967	19.3005253	47.4796512
Dellhéicht	1383113	5.9824687	49.5009271
Sambag II	7429383	123.8909280	10.3058789
2e Bayaha	411025	-71.8668138	19.6125699
Manešovice	433097	15.5184154	49.0629112
Perná u Valašského Meziříčí	432409	17.9478154	49.5313254
Hrdějovice	433594	14.4575342	49.0279989
Manělovice	436007	14.5837712	49.6950412
Großeneder	6506353	9.1580034	51.5526696
Skrzyszów	3854631	18.4957410	49.9465217
Tuszyma	6994063	21.5075732	50.1885138
Skorupy	4109796	23.2064411	53.1238246
Nowy Kamień	6554426	21.8092194	50.6964718
Chociemyśl	6100191	15.9917471	51.7354952
Skrzyszów	4451910	20.4129172	51.2953596
Mönchhalde	1107768	9.1744913	48.7957285
Stred III	4652486	18.1797939	48.9595533
Skrzyszów	6867300	21.5580204	50.0997403
Skrzyszów	6111719	21.0656917	49.9909951
Głowaczewo	4043028	15.4363683	54.1340207
Nowy Kamień	6897859	22.1822366	50.3384128
Cantón Escazú	4071270	-84.1410718	9.9173579
Március 15. tér	4009200	19.1268042	47.7787666
