Chalagnac	3216333	0.6777642	45.0923245
Abbévillers	123758	6.9196160	47.4258833
Fréchendets	2366799	0.2335922	43.0602054
Cissac-Médoc	164154	-0.8579088	45.2148691
Eckernförde	190839	9.8169619	54.4709344
Régnié-Durette	539882	4.6415542	46.1531671
Fuendejalón	341111	-1.4619151	41.7350450
Lüdenscheid	168563	7.6347555	51.2129386
Hidasnémeti	1280975	21.1892196	48.5071615
Vezdemarbán	345674	-5.3702081	41.6843439
Rétközberencs	1453531	22.0147242	48.2052154
Cantón Mocha	2676918	-78.7005578	-1.4145909
São Benedito	302617	-40.8915915	-4.0662469
Curvelândia	333654	-57.8753521	-15.6215000
Felsőpakony	214782	19.2654164	47.3430768
Cserhátsurány	1370295	19.4212682	47.9815095
Seobuk-gu	2474723	127.1711536	36.8789368
gmina Piątek	2926688	19.4733783	52.0654995
Miskolci járás	2374713	20.7622441	48.0598026
Nagykamarás	1026147	21.1470070	46.4615855
Biberbach	445867	10.7967262	48.5079655
Magyaralmás	1361439	18.3393278	47.2982306
Lac Alcide	1522287	-76.7789762	48.0287492
Västra Nedsjön	67148	12.4624297	57.7159980
McKay Lake	2465414	-65.6028045	53.7257802
Matalajärvi	7216906	27.9157699	60.8279273
João Ramalho	298118	-50.7738389	-22.2325000
Açude 25 de Março	1763180	-38.2151406	-6.1160800
Fongåtjenna	4795472	11.5996605	63.1432424
Stora Gårdsjön	3683142	14.9395366	59.3708051
Açude Jaburu	2125974	-41.0824308	-3.8500129
Matalajärvi	1559674	24.5864780	66.8006343
Ahelimjärvi	6621496	27.3830618	68.9956762
Strykowo	7003159	16.6214379	52.2432537
Ralakejärvi	2677688	24.0967830	61.7868643
Matalajärvi	2684040	24.1220565	61.6157747
Mbôlo Birane	3046932	-14.0474537	15.8398606
Kämmenlampi	299618	24.5998685	60.3498709
Báktegoarvi	7208012	23.6141260	69.2692627
Galadima B	3711625	7.8393478	12.5413268
McKay Lake	660400	-79.1827905	45.0549957
Biberbach	446695	14.7163353	48.0242796
Guro-dong	3881413	126.8825403	37.4936479
Sainte-Adèle	7697465	-74.1213228	45.9743545
McKay Lake	1671989	-63.4518349	44.8439639
McKay Lake	899420	-95.1951373	47.1650651
McKay Lake	3308787	-93.2877903	45.1991221
Septième Lac	1937150	-67.4382846	49.5699324
Lac Alcide	1593964	-69.7542241	48.3558193
McKay Lake	4144538	-86.4616669	49.6090062
Guzmán Abajo	4468346	-65.8394182	18.3505040
Isla Sarandí	3623415	-58.5109118	-34.4517463
Ciechanówko	6891673	19.8148815	53.2933851
Groß Briesen	3511765	14.3833696	52.1177859
João Ramalho	5683145	-50.7738389	-22.2325000
Nowy Port	2642949	18.6671213	54.4016222
Canafístula	6186277	-36.7077263	-9.3952616
Saggart ED	4585071	-6.4442862	53.2587748
성수2가 1동 (Seongsu 2ga 1-dong)	3882078	127.0556527	37.5367072
Nižný Hrabovec	2322364	21.7603414	48.8583691
Groß Briesen	6049073	12.4944492	52.2450654
São Benedito	3007170	-43.9115431	-19.7513484
Farnans ED	4682652	-7.0842745	52.8951370
Babberich	1422771	6.1256766	51.9062993
Zwierzyn	6896071	15.5712160	52.8254382
Rölvedermühle	4425490	7.5719813	51.2791007
Großenmarpe	7394728	9.0163089	51.9720809
Dzērvenieki	6649093	21.4485937	56.7492737
Qendër Piskovë	1253925	20.3392964	40.3011459
Lackabane	6164031	-8.7294312	51.9912692
Lackabane	5820849	-9.0408694	52.0645113
Nova Jaraguá	7824720	-43.8128626	-16.6847960
Lackabane	6318465	-9.3091081	52.2633382
Spurtown	3208509	-8.5589416	54.0487720
Por do Sol	1920406	-40.6269407	-19.5371434
Nutstown	3396641	-6.3717403	53.5411401
Backfence	5480354	-7.4580107	54.8471507
2e Lociane	410286	-71.7838686	19.0521335
Nižný Hrabovec	2322296	21.7603414	48.8583691
São Benedito	1875614	-40.3831711	-20.3559332
São Benedito	1847182	-40.3064534	-20.3020962
