Émalleville	543230	1.1567989	49.1018211
Belin-Béliet	76221	-0.7754951	44.4957769
Ménil-Lépinois	1412013	4.2970225	49.3717276
Marchéville	224320	1.2470000	48.3598960
Seytroux	107478	6.6065344	46.2384541
Lagraulière	120764	1.6274408	45.3572351
Pannecières	150936	2.1424648	48.2880836
Aldeaseca	344149	-4.8012997	41.0405949
Cajamarca	1896118	-78.5949412	-7.0651962
Gävleborgs län	52832	16.6987099	61.2613800
Somogyhárságy	575150	17.7805429	46.1797608
Komlódtótfalu	1452428	22.7129806	47.8463462
Gouvelândia	334517	-50.1533089	-18.5020161
Aracoiaba	302495	-38.7307642	-4.4992537
Cajamarca	1896111	-78.8396732	-6.1943728
Suvorovo	1934762	27.6231076	43.3146010
Sośnicowice	2818017	18.5158326	50.2729167
Stora Gällsjön	5989952	14.6317570	59.4991806
Lac Navières	2767029	-63.8376663	57.1574366
Lac Hachan	3103029	-73.7700742	48.9863283
Lac Napoléon	2463026	-73.5019726	49.2052217
Lac Électron	3102985	-73.8134503	48.7990248
Cidadelhe	6391630	-7.1164763	40.9272460
Hälterteich	2809622	14.4367386	51.8430850
Balltjärnen	6080806	14.9731016	60.4942704
Lußhardtsee	5377882	8.6215010	49.2394405
Étang de Crépot	5219774	5.3251900	46.6652979
Ängstugugölen	958149	16.0374069	58.7432070
Naaranjärvi	2727321	27.0040187	61.1345219
Étang de Pécrot	104488	4.6477947	50.7744703
Demmåvatnan	6020062	14.9237193	66.9806090
Ylä-Kastejärvi	2417086	24.9902663	63.0388142
Cacao Bajo	4467943	-66.0225910	17.9980186
Jägerweiher	1727573	8.3934372	49.4607118
Lac Napoléon	1468859	-74.3975991	47.1747029
Ndikiniméki	3823323	10.6512085	4.6747473
Camp 5 Lake	3563011	-89.3849821	46.1117019
Nandegada	5948610	81.2842653	29.2296629
Lac Napoléon	557095	-75.0206462	46.2975578
Lac Napoléon	1478771	-74.1048381	48.1144789
Knappavågen	6187554	4.8968524	60.4514356
Kärjenlahti	6141809	27.9983743	61.0314353
Niedźwiadna	6863321	22.1843003	53.5475920
Łoniów-Kolonia	6536114	21.5063327	50.5537305
Dursztyn	4571878	20.1989822	49.4171879
Mściszewice	6921319	17.8535519	54.2673976
Sikalaanõ küla	351404	26.8032356	57.7495350
João Correia	4731480	-41.5280134	-13.2836477
Unzhurst	5847053	8.0626088	48.6956465
Käriselja küla	354946	24.5238736	58.8110401
Hrachovište	2190410	17.7217914	48.7100560
행당1동 (Haengdang1-dong)	3882082	127.0350624	37.5597667
Sojo/Soxo	7158640	-3.1295559	43.0840168
Kilteel ED	5847364	-6.5191047	53.2310426
Ardough ED	4683063	-7.0614485	52.8231735
Mullagh ED	6979245	-6.9668451	53.8242991
Wurgwitz	5936702	13.6153496	51.0238188
Fajã de Baixo	7540335	-25.6405993	37.7637672
St. Johann	2773184	9.3521261	48.4614549
Bangadang	6002730	147.9830451	-35.2733950
Suvorovo	2521186	33.6872112	46.0882298
Szymkowo	3964430	19.4647857	53.1933408
Kępa-Kolonia	7594842	22.2328927	51.0736211
Wierzbięcin	6434328	16.8962620	54.4947877
St. Johann	7849697	7.5715207	47.5697329
Rzemiędzice	3503283	20.2581108	50.4020557
Timbó Grande	296701	-50.6652634	-26.6398931
Aghagegna	4753134	-7.2968441	53.8880797
Facefield	5869779	-9.0530158	53.7761615
Halford CP	3558220	-1.6137800	52.1066406
Hrachovište	2190389	17.7217914	48.7100560
Les Médecins	6600592	5.4547911	43.3643355
Behaghane	6230912	-10.0536785	51.7832249
Malý Madaras	1993158	17.3779295	48.1388118
Webb Beach	6599726	138.2614981	-34.4479628
25 de Julio	5411041	-84.0931281	9.9138381
10 de Marzo	4773231	-67.9922102	-38.9198323
Canwick CP	1838710	-0.5114393	53.2067202
Lubná u Poličky	428157	16.1978255	49.7722800
Stránka u Mšena	426953	14.6611988	50.4237354
Moravský Kočov	434558	17.4359314	49.9500004
Hluboká u Kdyně	424694	13.0605341	49.3616758
4e Soufrière	412006	-72.3775114	19.6603550
Malé Bedzany	2209627	18.1766706	48.5984463
Rossorry	3570149	-7.6462997	54.3359648
25 de Julio	6861263	-85.4363506	10.6503810
Cajamarca	1896113	-78.4624554	-7.1775274
You'anmen	5696749	116.3594269	39.8613687
Il'inskiy	1956490	55.6944884	58.5676246
Poblado II	7669158	-75.7086087	4.8031650
La Balance	1275793	55.2671480	-21.0338745
Pfändhausen	7777153	10.2085469	50.1401715
Cajamarca	1342085	-75.4729195	4.4065170
Cidadelhe	4203570	-7.8441806	41.1723057
Aïn Bouyahia	2754069	1.7474446	36.3417172
ež. Luokesai	1674113	25.4150105	55.2107669
Irurtzun	339671	-1.8218546	42.9249475
nám. Svobody	6643796	15.0031192	49.4723444
ež. Spenglas	2872574	25.7438690	55.0393571
ež. Gulbinis	6008082	26.4505949	55.5678000
