Mérenvielle	141892	1.1666250	43.6210374
Laà-Mondrans	1380948	-0.7701469	43.4560611
Éguelshardt	115079	7.5213074	49.0204590
Lachambre	1675615	6.7522367	49.0791754
Breuil-Magné	117850	-0.9714693	45.9943775
Lalacelle	3293436	-0.1301681	48.4692797
Berzé-le-Châtel	911239	4.6836284	46.3936282
Argentières	1274859	2.8671467	48.6523312
Bréchaumont	387497	7.0507319	47.6637840
Prémierfait	2994914	4.0234166	48.5036119
Prévinquières	115834	2.2381975	44.3682735
Dinkelsbühl	534177	10.3129022	49.0793215
La Cauchie	2171195	2.5797587	50.2050200
Kościerzyna	3174520	17.9848421	54.1207625
Negernbötel	422876	10.2567493	53.9844921
Baricella	43427	11.5827564	44.6758629
Hückeswagen	173818	7.3470067	51.1489130
Santo Ângelo	242640	-54.3059349	-28.2500153
Montelíbano	1324946	-75.5412558	7.7614791
Cotacachi	1779682	-78.4507013	0.3955234
Balaklava	3832516	33.6014624	44.5110111
Oßmannstedt	3473934	11.4264950	51.0171541
Garibaldi	242633	-51.5827875	-29.2449367
Döbritschen	2856991	11.4824270	50.9175644
Gänserndorf	106242	16.7123569	48.3281855
Chickasha	185084	-97.9452428	35.0411715
Talladega	110558	-86.0973107	33.4315104
Chraberce	439267	13.8307461	50.4076858
Amagasaki	901520	135.4161477	34.7225925
gmina Ojrzeń	2706626	20.5220026	52.7659773
Pacaraima	326283	-60.8970449	4.1668374
Barcarena	185661	-48.6428767	-1.4496225
Weißenbrunn	1021744	11.3407037	50.1915674
Gandarela	4103598	-8.3479340	41.3964939
Bad Buchau	2801316	9.6037313	48.0626734
Gänserndorf	104072	16.7157604	48.3800300
Lac Rachel	3298043	-75.3406612	49.5997564
Lac France	2565661	-74.0987042	49.7591839
Lac à Georges	1945645	-71.3563384	48.6554161
Lac Rachel	1479026	-75.7392186	48.1439466
Lac Fréguron	1594544	-72.1325234	48.1561677
Lac Caplan	6563344	-75.2292066	50.4514182
Lac Labrie	3559267	-76.4740648	48.9589676
Lac Denain	1523497	-76.9911520	47.8919821
Kasba Lake	4566110	-102.1106244	60.3356996
Camel Lake	6461358	-83.9023037	47.2537906
Dease Lake	2914910	-130.0372123	58.6320318
Grace Lake	400853	-90.9698079	47.8710769
Lake Colac	2200603	143.5984548	-38.2992627
Demajagua	4467783	-65.6496337	18.2869230
Siemianówka	6761673	23.8205072	52.8945402
Södra Svansjön	5886004	13.0916360	57.1888724
Hindemade	1795868	9.4095574	55.2276430
Tjörnarpasjön	398876	13.6196033	55.9952140
Braxengölen	911840	16.0881466	58.7731269
Huhdasjärvi	124561	26.5860901	61.1700786
Paulistânia	298332	-49.3113393	-22.5695000
Tvørråtjednet	5130422	8.3202710	61.1883368
Tandtjärnen	6073666	14.8030331	60.4539324
Vattlångssjön	1823514	17.1169989	61.8998231
Cachoeira	362439	-38.8811592	-12.6710000
Bednarzówka	6831946	19.5354511	53.8232404
Póvoa de Midões	6553837	-7.9835010	40.3912354
Alfragide	6519341	-9.2160045	38.7336674
Barcarena	6523766	-9.2796919	38.7334937
Pallasjärvi	297011	24.2178265	68.0285124
Jastrzębnik	3108020	15.5820005	52.7405725
Kościerzyna	2629526	17.9848421	54.1207625
Kivestönjärvi	7300600	24.5990684	63.4568717
Tartak Długi Kąt	7079430	23.0986068	50.4825012
Małpie Wyspy	272907	21.0222259	52.2568335
La Chambre	128282	6.2948122	45.3686417
Hellåvatnet	6015533	14.8494703	67.0011468
Guorbajávri	7185715	22.5781042	69.2291801
Sebec Lake	1171614	-69.2814014	45.2788122
Lake Grace	7768475	171.9753566	-42.9246687
Gwadabawa	3707477	5.2517717	13.3742348
Baird Lake	3336595	-91.3986014	48.4240320
Lac Adrian	1448780	-74.0799172	46.5109939
Grace Lake	3238212	-81.5998629	46.1334607
Gagne Lake	3826518	-83.0164895	47.3963408
Agate Lake	1190614	-78.2711913	44.6792825
Shinkafi 2	3711812	7.6617220	13.0030192
Grace Lake	3928150	-80.0069727	47.5478720
Cotacachi	3747432	-78.3015731	0.3033585
Grace Lake	5482588	-121.8629187	49.3325711
Baird Lake	3494574	-103.8406536	53.9434762
Grace Lake	114107	-85.1452221	32.9998719
Grace Lake	6624727	-84.7234341	33.7235082
Lac-Delage	7716428	-71.4026764	46.9676790
Lac Clelan	3072856	-73.4936577	47.0916792
Lac Ledlie	196862	-76.3824431	47.5070862
Lac Seneca	900165	-74.0972131	46.1172651
Agate Lake	907432	-93.9143029	46.4970409
Gagne Lake	1733114	-94.2437248	49.5964402
Kabik Lake	6151760	-92.0647947	49.9078840
Nabob Lake	1733034	-94.1736938	49.6367859
Camel Lake	5136592	-86.6812269	50.2480552
Grace Lake	4668778	-81.2126667	50.1071006
Dibekdere	1761478	27.9577546	38.5725230
Majhkanda	5856916	81.9953086	28.4189023
Hüttenmühlsee	1247261	10.7272491	47.5064007
Lac Blaire	1519846	-73.6848320	47.6438132
Grace Lake	2816139	-139.2750652	61.9532393
Blanchard	185087	-97.6706234	35.1573064
Hohengöhren	3643698	12.0896743	52.6182918
São Bentinho	301417	-37.7150330	-6.8952990
Daskaleia	543193	22.8649889	37.5026960
La Chambre	2835355	-4.0005742	47.7206527
Michalice	4631543	17.7667636	51.1041563
Pine Beach	170314	-74.1689853	39.9355125
Kirchbach	377696	13.1789884	46.6405518
Nové Lublice	437628	17.6818207	49.8604546
Blanchard	132043	-93.8946236	32.6036270
Ebersbach	551161	13.6723386	51.2457561
LaFayette	119687	-85.2805464	34.7116985
Kirikumäe küla	354586	27.2518537	57.6872197
Vanamõisa küla	352743	26.9094931	57.6647606
Vanamõisa küla	353355	25.4634418	59.0911812
Vanamõisa küla	350566	22.5021459	58.7472705
Assistência	3028928	-47.6147529	-22.5010022
Canabrava	6116843	-45.7292117	-17.3110331
Paulistânia	5684927	-49.3113393	-22.5695000
Djorogobité	4525199	-3.9591246	5.3794728
Benicalap	5791055	-0.3911935	39.4942696
São Bentinho	6227291	-37.7150330	-6.8952990
Cachoeira	6010288	-35.4328692	-6.9092480
Vanamõisa küla	353460	26.2125021	59.4438435
Vanamõisa küla	352080	24.2982498	58.7379229
Vanamõisa küla	354229	24.6161284	58.8387418
Cafesópolis	3018931	-49.7593461	-21.8715756
Groß Leuthen	3548782	14.0470348	52.0425901
José Mariano	6192456	-35.4580473	-8.4828144
Cachoeira	6234505	-38.9202606	-12.6526176
Vanamõisa küla	355187	26.7642412	58.8057226
Barcarena	6421062	-48.6428767	-1.4496225
Vanamõisa küla	354598	25.4980390	58.4397861
Vanamõisa küla	352189	24.5317131	59.3299721
Vanamõisa küla	355261	27.0984349	58.2197597
Niitvälja küla	351574	24.2907253	59.3158826
Vanamõisa küla	6452175	24.0329943	58.7079742
Canabrava	6156046	-43.4528341	-16.2435122
Canabrava	4735267	-43.7611748	-14.5890069
Sülzenbrücken	3145505	10.9058415	50.8852798
Leitrim ED	5509316	-8.0492134	54.0097722
Vanamõisa küla	352460	23.2011993	58.6001871
Pacaraima	7567152	-60.8970449	4.1668374
Vanamõisa küla	353896	22.6682707	58.2515164
Leitrim ED	4472015	-8.6609939	54.0643191
Ebersbach	415415	13.1185684	51.0947128
Ebersbach	1310909	14.5975801	51.0081729
Järvselja küla	355301	27.3179178	58.2618491
Vanamõisa küla	353828	25.9253034	58.0576463
Valgjärve küla	353946	26.6520627	58.0841214
Landefeld	7761479	9.6978099	51.1012680
Rasų seniūnija	1283318	25.3197829	54.6491999
Blanchard	189149	-77.6078372	41.0641532
Garibaldi	186496	-123.9111629	45.5617595
Žeimių seniūnija	3561869	24.1777374	55.1888456
Heckfield	3741474	-0.9662750	51.3438239
Jasnochówka	4029354	17.9212712	53.9594472
Delcambre	131588	-91.9901746	29.9516605
Šunskų seniūnija	3513420	23.3411064	54.6268859
Płouszowice	7633140	22.4180145	51.2794275
Przestańsko	3297328	20.0191790	50.2325296
Bibaringa	6678686	138.7722801	-34.6425476
KG Hernals	5891265	16.3279672	48.2209341
Bürgerweide	2460555	8.8144317	53.0865387
LaFayette	7458662	-85.4009027	32.9001775
Trzykosy	6543204	21.5318358	50.6105379
Jastrzębnik	4103882	20.7191838	52.0298915
Ciechanki	6862432	22.9569228	51.2715311
Vodní nádrž Dalešice	1741067	16.0812928	49.1625109
Stróże Wielkie	6969536	22.1934637	49.5204182
Fréau-Jardin	6609737	1.2239345	6.1315512
Nala Ward 5	3595600	26.6469017	-27.3884010
Bracklagh	4178877	-8.8217354	53.5251880
Gallanagh	5689343	-6.9881536	54.2534233
Deelin Beg	4647323	-9.0788464	53.0686989
Binganagh	4218394	-8.4535066	54.0461546
Bracklagh	5684233	-8.4305501	53.1389196
Bracklagh	6068542	-9.4147051	53.9602630
Craiganee	4219383	-5.7975647	54.7949409
Bracklagh	4142204	-8.5183927	53.6919894
Lackakera	5573276	-8.0291429	52.8139685
La Cardera	3446055	-60.8272449	-32.9311149
Craiganee	4311355	-6.3303255	55.2172811
Ardgehane	5936411	-8.8030978	51.6039464
Donagh Beg	4297845	-8.1537065	54.3059988
Rosengården	5525174	12.7252110	56.0497161
Mahallagh	6171942	-8.8278583	51.8936571
Bracklagh	6229933	-9.5467102	53.7118042
Koliady II	7643765	-12.8445597	10.0816678
Racefield	4836364	-6.8431237	53.0905388
Creaton CP	1742721	-0.9462607	52.3413872
Macabolig	1513891	124.9898242	7.0165600
Gallanagh	4148731	-6.2169800	54.7797455
Balaklava	6603770	138.4280472	-34.1413055
Jóquei Clube	2245403	-57.0536602	-29.7546493
Bedingham	1022711	1.3704368	52.4791957
Ardgehane	5887045	-9.2423152	51.4974605
Bracklagh	5543976	-8.7877296	53.9467440
