Raillimont	150385	4.1566283	49.7028149
Courmelles	74007	3.3128760	49.3455554
Montcavrel	2918415	1.8091000	50.5203096
Coupesarte	163602	0.1006529	49.0569325
Libercourt	178338	3.0023348	50.4835396
Steenwerck	68066	2.7657824	50.6829636
Villeselve	196177	3.1071470	49.6832404
Sasseville	146745	0.7094435	49.7820168
Rogerville	106314	0.2572011	49.4828295
Courtivron	150003	4.9585826	47.5312549
Pont-de-Chéruy	90793	5.1749764	45.7488918
Montchaton	1107725	-1.4970964	49.0072999
Bouvignies	56356	3.2382005	50.4331840
Champguyon	2742545	3.5649980	48.7730726
Quagliuzzo	44949	7.7806417	45.4236427
Malvillers	1216921	5.7932731	47.7357779
Shiselweni	1253042	31.3134003	-27.0243441
Retalhuleu	214711	-91.8292367	14.4193895
Olliergues	357935	3.6400437	45.6883220
Villembits	2538194	0.3197059	43.2811866
Pennautier	1084456	2.3118521	43.2519341
Hennecourt	1246338	6.2852772	48.2180260
Saint-Ferme	1270487	0.0586326	44.6950204
Guermantes	402897	2.7142703	48.8515218
Huttenheim	85703	7.5843710	48.3485440
Gironville	1412718	2.5352875	48.1673916
Vielle-Aure	2312652	0.1740313	42.8542027
Douarnenez	318967	-4.3219131	48.0793056
Vœuil-et-Giget	374952	0.1595648	45.5910699
Sévigny-la-Forêt	3277783	4.4738789	49.8793994
Bouteville	1732323	-0.1298558	45.6106315
Xiamen City	3242930	118.0666884	24.6665053
Metz-Robert	2678272	4.0956028	48.0696983
Heimsbrunn	386127	7.2191282	47.7259281
Champougny	2970201	5.6958404	48.5437732
Fournaudin	1663085	3.6465274	48.1483535
Stainville	2973466	5.1792286	48.6422585
Boistrudan	107911	-1.4000413	47.9776176
Soultzeren	905901	7.0872821	48.0829458
Dolancourt	2996285	4.6063683	48.2677490
Maconcourt	935819	5.9402157	48.3633113
Unienville	3000998	4.5418733	48.3187752
Esclauzels	122589	1.5935377	44.4373625
Congé-sur-Orne	109603	0.2562121	48.2062545
Quezon City	106569	121.0637428	14.6821510
Cruseilles	75191	6.1226457	46.0425299
Golferenzo	43884	9.3042397	44.9614209
Hastingues	76044	-1.1188116	43.5153126
Saint-Chels	123845	1.8237144	44.5299918
Saint-Satur	304117	2.8530271	47.3489725
Moulin-Mage	1629120	2.7770709	43.7186009
Tula Oblast	81993	37.3901960	53.8995450
Saint-Agnet	76147	-0.2699273	43.6047702
Montjustin	1947873	5.6407299	43.8425040
Villebourg	104795	0.5249777	47.6343382
West Gojjam	3306153	37.3497672	11.2930044
Saint-Salvy	2146018	0.4462785	44.3008904
Port Arthur	113914	-93.9316248	29.8317060
Mas-d'Orcières	1070767	3.7071807	44.4597407
Torrevieja	341237	-0.7071420	37.9945177
Marinduque	1506331	121.9822629	13.4014454
Villodrigo	341270	-4.0905531	42.1486325
Riesweiler	1241481	7.5822992	49.9393251
Weinan City	3028621	109.7666249	35.0334184
Ortigueira	341664	-7.8400526	43.6516864
Sorbollano	2745374	9.1174510	41.7521785
Châteaurenard	73917	4.8424695	43.8828039
Preganziol	45450	12.2226518	45.6094409
Mertesdorf	1256956	6.7047913	49.7681836
Settefrati	41480	13.8689288	41.6896429
Waarschoot	1373039	3.6093076	51.1471699
Montelepre	39537	13.1784097	38.0861834
Wormerland	47812	4.8593428	52.5055522
Balatonboglár	1367832	17.6616636	46.7659445
Ness County	1070385	-99.9158180	38.5224875
Walshausen	1252377	7.4694046	49.2136378
Monte Isola	45773	10.0822354	45.7119939
Mauthausen	910868	14.5351558	48.2465036
Brohl-Lützing	1022832	7.3136955	50.4773822
Vadencourt	153700	3.5634288	49.9248400
Saint-Aubin	2066366	3.1883864	49.5083705
Jiquipilas	5999593	-93.6056543	16.5749756
Retalhuleu	4476184	-91.7399930	14.3894018
Jorquelleh	4001318	-9.4312172	6.8990250
Cantón Palanda	108328	-79.1267897	-4.5210454
Altunhisar	1249729	34.2334357	38.0286341
Echi County	812220	136.2463155	35.1680024
Plahn Nyarn	4001350	-9.0348658	5.3229571
Mono County	396472	-119.0295484	38.0884244
Thulendorf	393350	12.3110739	54.0897259
La Saussaye	536459	0.9834070	49.2565000
Vicopisano	42583	10.5553650	43.6983829
Montaquila	41370	14.1132687	41.5459957
Cang County	5679057	116.6185962	38.3130938
Mill Valley	112703	-122.5461133	37.9081320
Ulkosaaret	190430	24.9994729	60.0567348
Rocky Mount	179034	-77.8279106	35.9819270
La Sommette	142008	6.5141402	47.1950614
Ning'an City	2756931	129.2080526	43.9903202
Krucemburk	440668	15.8201139	49.6790697
Scharbeutz	382443	10.6957387	54.0186555
Sitasjaure	7817132	17.4970078	67.9823750
Le Pasquier	156448	5.8989791	46.7990211
Verghereto	42608	12.0475867	43.8069876
Wudi County	5678252	117.8048331	37.9935908
Drobysheve	3944609	37.7279482	49.0411650
Perth Amboy	170538	-74.2692207	40.5197005
Pihtipudas	2424664	25.6526569	63.4270006
Pettendorf	965010	12.0060888	49.0455543
Laurinburg	176770	-79.4771089	34.7544630
Wake Forest	179707	-78.5138367	35.9708811
Sêrtar County	2785531	100.1975397	32.3644605
Qidong City	3320332	121.6736942	31.8840012
Wood County	911313	-83.6497660	41.4003965
Wuhe County	3262332	117.7838689	33.1276360
Brodeslavy	439754	13.5580536	49.9542926
Prato Sesia	45631	8.3645987	45.6651287
Dennheritz	417024	12.4651536	50.8124312
Szendehely	1607369	19.1270169	47.8534341
Coraopolis	187431	-80.1636899	40.5163934
Heyersdorf	2778476	12.3506143	50.8503440
Watulawang	5615399	110.6047115	-8.1477623
Sanyo Onoda	4018267	131.1363133	33.9612099
Fujinomiya	4674648	138.6213040	35.2987214
gmina Psary	2832464	19.1222952	50.3866115
Pondokrejo	5615447	110.3065501	-7.6640246
gmina Międzychód	2853757	15.9087393	52.5864066
