Vic-sur-Aisne	1809448	3.1099135	49.4125237
Rouy-le-Grand	3358587	2.9520452	49.7801444
Chamborigaud	2927596	3.9567997	44.3032815
Sainte-Thérence	180209	2.5766366	46.2430618
Cundinamarca	1305533	-73.6700650	4.7805318
Gien-sur-Cure	1796326	4.0955577	47.1424635
Franciscópolis	315408	-41.9807667	-17.9980000
Chauchailles	111914	3.0652425	44.7968775
Kuens - Caines	47305	11.1665264	46.7022692
Casalarreina	339885	-2.9053129	42.5455265
Zalaboldogfa	1357106	16.7779599	46.9054404
Oberbrombach	1244325	7.2671011	49.6966391
Ilha de São Jorge	7357093	-28.0527587	38.6446179
Magnacavallo	43957	11.1777365	45.0008915
San José Tenango	5999772	-96.6707394	18.1644917
Burgoberbach	534395	10.5826892	49.2215506
powiat ostrołęcki	2704641	21.4523805	53.1400119
Chahar Burjak	6592797	61.9526198	30.1602728
La Poitevinière	301587	-0.8845540	47.2290142
caïdat de Bizdad	5398361	-9.4009721	31.2346072
gmina Smołdzino	1565687	17.2179325	54.6720891
Kirchweidach	942117	12.6456594	48.1012720
Sala Biellese	45172	7.9634773	45.5085424
Rethem (Aller)	1799474	9.3632785	52.7580049
Tejeda de Tiétar	339957	-5.8648232	39.9901599
Pfaffenhofen	79368	11.0750166	47.2776482
Finningley CP	141294	-0.9671927	53.4901529
Paradise Lake	1666498	-65.1760757	44.7635900
Lac Marbrelle	2621117	-66.1939871	55.0903179
Lilla Draggen	6094815	15.6853908	61.0402589
Snaubakktjønna	5838333	14.4455141	67.1190924
Deer Bay Creek	2155326	-78.2191140	44.7191982
Oak Neck Creek	6595148	-73.5744028	40.9022558
Kråkdalsvatnet	6283507	8.6476969	63.7089163
Laghi di Cedec	3399964	10.5847916	46.4577671
Veikkolanjärvi	7258076	29.0071859	61.3608762
Gornje Babine	6370811	19.4743629	43.3966645
Ladvikstjärnen	6082400	14.6166455	60.4961886
Lambholmtjørna	6331160	5.2559835	61.1155059
Étang de la Buxière	6179305	1.4757476	46.5004454
Lamas de Orelhão	5735861	-7.2816513	41.4447506
Aguada de Cima	6017810	-8.4154040	40.5268189
Paradise Lake	1355382	-120.3614905	39.3992452
Heritage Lake	6346217	-95.3611541	30.1052934
Paradise Lake	1348318	-121.5853136	39.8602770
Lake Heritage	4023525	-117.5238556	48.6349922
Kamenisa Lake	3912701	-81.3905398	47.1593951
Paradise Lake	3408376	-80.7675844	46.9746452
Lac Boissadel	908647	-77.3281471	47.0135339
Hilliard Lake	2419654	-78.6066110	45.5186365
Pefferle Lake	1597996	-120.1556604	50.0110217
Heritage Lake	3494505	-105.1605619	53.9347316
Meridian Lake	1422234	-101.9826499	54.7442415
Carolina Lake	195913	-77.8962352	34.0292434
Bleakley Lake	114453	-84.8262734	33.8909104
Sarkin Addar B	3707586	5.2362736	13.0592132
Naval Academy	133172	-76.4872413	38.9846100
Lacs Chapleau	1480284	-71.6071912	47.6150347
Bluebird Lake	3527330	-83.0678498	46.6864478
Heritage Lake	4049995	-97.3212797	32.5309576
Kovaceva Bara	7222950	22.1270807	42.9151207
Bhairabstham	5697805	83.4756157	27.8519830
Millican Lake	1837035	-65.8919377	45.2210061
Rejsby Klæggrav	4274693	8.6703020	55.2457895
Seaplane Lake	3545491	-126.8111760	61.4131752
Meridian Lake	1735088	-109.3676277	62.6263503
Patience Lake	2205194	-106.3315261	52.1223461
13th district	1605916	19.0741986	47.5368041
Pfaffenhofen	410518	8.9607235	49.0576145
Isla Cabrales	2716325	-75.3895992	-48.6785950
Krabbholmane	5847321	4.9419975	60.4081845
Indre Øksningan	5291739	12.2240460	65.9891315
Gaffer Island	3625568	-7.7430213	54.4527514
Isla El Cajete	6545178	-90.0093802	13.7050553
Caleta Correa	6278295	-75.2985758	-50.1664338
Isla Clarence	2142284	-72.0092810	-54.0945901
Pacs del Penedès	341416	1.6655487	41.3587311
Mühlhausen im Täle	2788184	9.6494832	48.5752516
Torre Alháquime	346645	-5.2311354	36.9097705
Danan Village	3367538	120.8007494	24.2312600
Caiçara do Norte	6243688	-36.0888009	-5.1670813
Taberlaane küla	352625	26.5076428	57.8450289
Albéniz/Albeitz	6880220	-2.2687400	42.8852469
Ober-Eschbach	3340025	8.6502845	50.2147524
Kaberneeme küla	352071	25.2625648	59.5029927
Danan Village	3395986	120.7194818	24.2571500
Yangjae2-dong	3880652	127.0436621	37.4542766
Stadtgebiet Süd	376521	13.1213141	54.2646989
Griškabūdžio seniūnija	3530563	23.1952972	54.8533115
Lake Heritage	189301	-77.1859051	39.8086894
Kybartų seniūnija	3438256	22.8185126	54.6601087
Caiçara do Norte	301074	-36.0888009	-5.1670813
Teniet El Abed	5201404	6.2546389	35.2860291
Kalagharivka	3167023	26.2382702	49.2552884
Glen Campbell	188699	-78.8308642	40.8213705
Little Canada	136609	-93.0861908	45.0243740
Town of Union	3643067	-88.9200455	44.5469468
Town of Union	7022412	-91.5944935	44.8069554
Vila Meã da Serra	7837373	-8.3191487	40.4157536
Tejeda de Tiétar	1637060	-5.8686646	40.0188455
Durachka Reka	6845669	22.3587762	42.1580431
Cookamidgera	6057990	148.3164390	-33.2370857
Kostrzeszyn	6463054	20.5367903	50.3737561
Raciechowice	3564713	20.1330307	49.8422626
Baciki Dalsze	6787699	22.9343741	52.4732384
Villa Adelina	1770850	-58.5432931	-34.5147491
Nord (Holland)	3388633	9.4941994	51.3321351
Cappagarriff	3481317	-9.3485926	53.4588903
Cornageeragh	5518927	-7.8148796	54.0770548
Belimbla Park	6076538	150.5401795	-34.0834401
Boggagh (Fury)	4178035	-7.7815879	53.3799085
Clondavaddog	5583405	-7.9330287	54.9651222
Labbadermody	6143219	-9.1200184	51.9727937
Armaghbrague	5294209	-6.6119384	54.2224963
Ballynagarde	6018889	-8.5606288	52.5818862
Lenadremnagh	5397577	-6.6177435	54.5632211
Ballincranig	5168638	-8.5077022	51.8369072
Charlesfield	6166415	-8.8928297	52.0771033
Ranaghanbaun	2295461	-7.4288834	53.7557096
Farranmanagh	6294340	-9.6793668	52.1314355
2e Passe Reine	410896	-72.5072897	19.4841418
Ballintadder	4193563	-8.7314450	53.9654455
Cloghaneduff	6205159	-10.3466149	52.1884511
Cappanraheen	5932801	-8.7116102	53.2228235
Caddellbrook	4798471	-8.3997425	53.7972546
Sümer Mahallesi	7726284	35.4786781	38.7405150
Aghnamirigan	4618796	-7.1332490	54.6912993
Ballycardeen	5968147	-8.7222012	51.6211972
Carrowcanada	5813199	-8.9422320	53.9272588
Ballaghanure	6028357	-8.9661366	51.7688209
Garvagh Blare	4598943	-7.7063383	54.7184760
Appanaffrick	5722498	-9.4000406	51.7802967
Caherbirrane	6132998	-9.0198710	51.9595680
Ballynacaird	4220589	-6.0725547	54.8865829
Ballynagarha	6040584	-9.2544371	53.7886972
Castlecreagh	5944433	-8.3085981	52.4094949
Gortfad Glebe	5390843	-6.8018144	54.5750419
Birbeg Island	3349192	-9.7900890	53.2811310
Ballynaheila	6360807	-7.9843207	51.9948564
Cloghaneanua	6229378	-10.2743737	51.8407131
Ballycran Beg	4572155	-5.5035322	54.4545234
Croft-on-Tees	7761397	-1.5802690	54.4657923
Illaunaleama	3369517	-10.1867907	53.4076402
Greaghacorra	4687942	-8.1483777	54.1008168
Ballymabilla	5998814	-8.4324741	53.2890361
East Halton CP	610973	-0.2791861	53.6642736
Kealvaugh Beg	6155935	-9.2116652	51.8333241
Farraniaragh	6229651	-10.1507938	51.7738962
Cashelnagole	4783112	-8.4034631	53.8187938
Moqhaka Ward 6	3596910	27.1909129	-27.6364345
Hay Ridge Area	7823078	-113.5741669	53.4180156
Mbizana Ward 6	3594975	29.9169748	-30.8256726
Hradiště u Nové Bystřice	426473	15.0761516	49.0325773
Chrastová Lhota	429113	16.5391978	49.6149700
