Saint-Denis-de-Méré	134033	-0.5038003	48.8625421
Lannoy-Cuillère	1229108	1.7432342	49.7099694
Flamets-Frétils	198332	1.5791793	49.7287001
Blacqueville	3006899	0.8611004	49.5597802
Frichemesnil	1435635	1.1353517	49.6212018
Francarville	1263704	1.7433361	43.5872120
East Midlands	151279	-0.6718223	52.7965751
Al Jawf Region	3842543	39.7445929	30.1435925
Commenailles	147878	5.4377687	46.8033436
Merle-Leignec	555280	4.0170959	45.3679531
Niederstedem	1152688	6.4942886	49.9287904
Cléden-Cap-Sizun	277611	-4.6642740	48.0553504
Ascoli Piceno	42176	13.6170262	42.8510389
Menzel Chaker	273307	10.3837581	35.0283419
North Chicago	122077	-87.8546275	42.3147373
Roccagiovine	41741	12.8827679	42.0500891
Niederneisen	538923	8.0602156	50.3364382
Massamagrell	343638	-0.3397514	39.5767395
Magyarmecske	575370	17.9539837	45.9417691
Welschbillig	1260069	6.5872727	49.8608183
La Calotterie	1236005	1.7177676	50.4799360
Gau-Algesheim	1239622	8.0189075	49.9479095
Sheikh Radwan	3935884	34.4701064	31.5326655
Erdene-Bulgan	7302547	101.4769243	47.4323766
Huatlatlauca	6037676	-98.0725565	18.6791936
Qansax Dheere	1720128	42.8440628	2.8947140
Cuartel Irala	6597872	-60.6977816	-34.7490152
Merkezefendi	1606211	29.0274433	37.8082773
Abadan County	6554852	48.6842152	30.1940446
Barotac Viejo	3492692	122.8620436	11.0628333
Castellarano	43236	10.7087935	44.5191963
Bisterschied	1253989	7.7442930	49.6429454
Warnkenhagen	2027765	12.4882929	53.8374060
Ascoli Piceno	42141	13.5395930	42.8834203
Hitachiomiya	2682909	140.3413201	36.6075825
Mátraszentimre	1417366	19.8479601	47.9097935
Michigan City	127358	-86.8745086	41.7098600
Biessenhofen	447976	10.6439431	47.8220206
Cessapalombo	42320	13.2417182	43.0833322
Mercer Island	237360	-122.2228405	47.5660659
Les Chalesmes	156449	6.0263264	46.6944141
Požega-Slavonia	222870	17.7683236	45.3819322
Cheseaux-Noréaz	1684898	6.6869948	46.7894807
Wiesenfelden	959662	12.5374150	49.0419814
Pondok Kelapa	5802136	106.9331532	-6.2410395
gmina Bielice	2896983	14.7419500	53.2047721
gmina Brzeźnica	2872124	15.4099877	51.7121775
gmina Brzeźnica	2659216	19.5976047	49.9567284
Dauh Puri Kaja	7789786	115.2137839	-8.6445940
caïdat d'Ammelne	5369416	-8.9060195	29.6155075
Kamisunagawa	4085220	142.0128492	43.4469900
gmina Damnica	1565681	17.2862361	54.4968883
Theilenhofen	1015104	10.8396898	49.0781927
Forchtenberg	376921	9.5626183	49.2723089
Akmola Region	215743	69.8196356	51.8609798
Bajos de Haina	7159796	-70.0310061	18.4321726
Sabine Parish	1838160	-93.4815817	31.5064279
Massa Martana	42151	12.5254395	42.7780790
Cortes de Pallás	346362	-0.9199222	39.2456647
Bad Schwartau	382446	10.6834226	53.9274958
Hillersleben	3968643	11.4921341	52.2927930
Legde/Quitzöbel	1289793	11.9831645	52.9097701
Stecklenberg	4008871	11.0869748	51.7315902
Campo Lameiro	346570	-8.5101216	42.5379231
Rauschenberg	225483	8.8907519	50.9114242
Landingville	188899	-76.1226663	40.6257485
Cripple Creek	112377	-105.1820024	38.7451455
Peseckendorf	3971834	11.3391686	52.0341359
Wapikopa Lake	6456919	-87.9477129	52.9642998
Rutledge Lake	4689584	-82.5009522	34.9119444
Lac Beaucours	3154185	-74.5101954	49.1137240
Lac des Atacas	6225988	-71.2285209	45.8121681
Étang Sayat-Nova	7781424	-72.1849242	45.3230865
Lac Berthelot	6433948	-76.1195901	48.5546722
Lac du Panache	1450621	-71.5501116	47.9874007
Lac Fontbonne	2953049	-78.4259355	48.3531292
Crotchet Lake	897250	-78.9442207	44.9596072
Sirdevan Lake	3924174	-80.1505774	47.2488707
Lac Brodtkorb	193774	-76.6187607	46.5334634
Mita Hills Dam	7691573	29.0953154	-14.1010669
The Blue Lakes	6588037	34.8561615	50.9184430
Lorraine Lake	2424800	-66.9036478	53.0676955
Naskaupi Lake	2573377	-61.4726921	54.2608158
Waduk Manggar	384266	116.9138671	-1.1634199
Hamilton Lake	3877681	-82.9920936	47.5353276
Polder Bramel	2342702	8.7199840	53.5601641
Redhorse Lake	6486168	-76.8052566	45.0955026
Red Horse Lake	6518374	-76.0863636	44.5224297
Lac Tremblant	899762	-74.6385605	46.2486548
Pinetree Lake	1152934	-78.3151638	45.5523346
Rechenweiher	6684464	12.1438061	49.8558452
Lago de Zirahuén	2499005	-101.7408333	19.4374018
Lac de Mirande	2848797	6.0853885	45.4080193
Brambles Pond	2319091	151.6958799	-32.8750700
Parikanlampi	7264836	29.1028157	61.3282462
Hlohovecký rybník	6041632	16.7734491	48.7804583
Paattanlammi	2810078	22.7983650	62.0109127
Lough Meelick	2954525	-9.2147198	54.2044354
Vila Fernando	2376629	-7.1639844	40.4887294
Álvora e Loureda	4648476	-8.4342203	41.9501273
Lykkjebøvatnet	5693008	5.6058642	61.6228769
Raciborowice	7082136	23.7683368	50.9463563
Boljevac Selo	6352459	21.9920784	43.8245303
Radikina bara	7289987	22.0138896	43.2669798
Étang de Guesnes	3958592	0.1688949	46.9035728
Quebradillas	4468209	-66.2899813	18.2164386
Dollgener See	2310034	14.0284414	52.0120001
Lake Palourde	4512014	-90.1239641	29.2136781
Groß-Enzersdorf	104864	16.6006227	48.1849148
Lac Villebois	1272763	-73.7305799	46.7462470
White Oak Lake	3339800	-81.0034883	46.2927803
Sideburn Lake	3377092	-81.6407675	46.8530990
Bushtail Lake	3919348	-81.9196729	47.2491940
Shingwak Lake	3381932	-81.3339847	46.8276942
Shawmere Lake	4042661	-82.6322441	48.3059813
Ferrier Creek	3954155	-81.2803846	48.0642393
Ferrier Creek	3954154	-81.2955178	48.0548898
Tomasina Lake	3364471	-81.9337797	46.8130486
Coppell Creek	3900394	-82.5478837	47.8568296
Rutledge Lake	2211096	-77.7962580	45.1688065
Baptiste Lake	3856549	-78.0482708	45.1221004
Buckhorn Lake	905244	-78.7009827	45.2392826
Buckhorn Lake	6454545	-78.3827635	44.4961561
Lake Sapphire	6611779	-85.2688861	44.3162434
Pinetree Lake	1776564	-79.9910611	45.6485782
Lake Rosalind	1609955	-81.0514751	44.1763203
Buckhorn Lake	944276	-79.8524751	45.0976820
Laguna El Alto	3875121	-71.0201249	-35.6192484
Long Pine Lake	6358236	-77.6568618	45.7069247
Jennings Lake	2611230	-79.4315661	46.3001030
Jackson Lakes	138653	-88.4899013	46.6764257
Tomahawk Lake	3556267	-89.6661821	45.8266423
Lake Hamilton	2734266	142.0386509	-37.7354850
Wodonga Creek	4049313	146.8708533	-36.0882019
Pedeli paisjärv	4437450	26.0308580	57.7794021
Barteaux Lake	5135287	-64.7124160	44.9199583
Tomahawk Lake	1675247	-63.8036827	44.7886488
Scraggly Lake	2851496	-68.7530288	46.2368875
Zeballos Lake	1131131	-126.7520943	50.0755391
Rock Isle Lake	1469748	-115.7835264	51.0628221
Graveline Bay	1777787	-88.7032536	30.3723303
Brae-Tarn Lake	114763	-84.6987886	32.9184419
Maisandari Wi	3698709	12.0049168	11.7513588
Lake Rutledge	137327	-83.5855750	33.6472410
Lake Tomahawk	2032790	-82.3287022	35.6189809
Whiteoak Lake	1373525	-84.3220130	35.9034454
Flesher Lakes	3478104	-112.4902513	47.0027629
Sapphire Lake	142214	-83.0129474	35.1081974
Krishna Nagar	5977162	82.7925330	27.5154725
Sonielem Lake	3696242	-113.9329284	47.3188752
Pandapas Pond	304879	-80.4684486	37.2812649
Bogberry Lake	401105	-91.6486022	47.8035337
Lake Hamilton	1950316	-93.1153818	34.4598371
Lac Guilbault	899995	-74.9176909	46.1577775
Lac Villebois	2607535	-65.6152491	54.7826004
Longpine Lake	3316262	-95.1101577	49.7855052
Wauchope Lake	3490026	-93.1424170	50.0100931
Hamilton Lake	5956511	-91.0268235	49.5361227
Hamilton Lake	6151757	-92.0924482	49.9877154
Woodpeck Lake	6620253	-91.7053107	53.2979863
Big Telly Lake	1752381	-93.9771003	49.8790973
Harriet Creek	4124413	-86.1097622	48.7706743
Tomahawk Lake	4138564	-87.4243641	49.4314285
The Third Lake	4116560	-87.4160093	48.9313688
Goudreau Lake	4093630	-84.4346227	48.2827810
Spindle Creek	5204653	-86.5029672	50.2684577
Lauramay Lake	3972884	-80.0040318	48.3000447
Harriet Creek	3957085	-81.8741706	48.4778459
Harriet Creek	3957086	-81.8725028	48.4778437
Cripple Creek	3957078	-81.7440171	48.3563352
Cripple Creek	3957077	-81.7421672	48.3631713
Jezioro Krępsko	5498772	17.1958951	53.7155310
Baijanathpur	7458800	87.3064576	26.4969952
Sarpani Garpa	5852533	82.3854626	28.2146445
Narayan Khola	6861197	85.7069135	27.1596103
Pikku Kivijärvi	1789972	23.8446440	61.9501983
Mallards Pike	1308828	-2.5267765	51.7844329
Crotchet Lake	5130884	-65.4218206	44.6557256
El Libertador	2433839	-58.6159855	-34.5550189
Lake Hamilton	1668852	135.2916561	-34.0049634
Lake Burnside	2504012	122.9947275	-25.3616232
Rutledge Lake	4591540	-110.7818414	61.5742176
Hamilton Lake	5998202	-111.9663047	54.0695322
Baptiste Lake	1505375	-114.1822073	62.7032480
Larocque Lake	1108524	-101.3528123	51.6014588
Pinetree Lake	6746751	-129.7842779	59.0055634
Cabrera de Mar	343710	2.4039737	41.5237922
Quebradillas	4468311	-66.9225514	18.4288324
San José de Maipo	166556	-70.1566123	-33.6718107
Lake Seminole	59197	-84.8708867	30.7896968
Betsedeviken	6139069	18.4336287	59.3259071
Isla Cumichin	7102393	-88.6717119	13.2530168
Karlsøyfjorden	7792409	7.2840534	62.7028900
Wallilabu Bay	2717349	-61.2717642	13.2483190
Quadra Island	2143327	-125.2663524	50.1516945
Moldefjorden	7792411	7.1057528	62.7178841
Farstalandet	5751915	18.3911315	59.3081906
Isla Clotilde	5446384	-73.8050765	-43.9262151
Staré Smrkovice	439863	15.4861177	50.3300146
Weichselbaum	177042	16.1902590	46.9595166
Canasvieiras	4218729	-48.4882776	-27.4529238
East Columbia	7696491	-122.6619809	45.5933633
Batken Region	178019	71.5614157	39.8631380
Perederiieve	3941103	38.9059502	48.0080653
Trảng Bàng District	7093825	106.3890069	11.1057928
Buckhorn Lake	3238905	-83.4479518	37.3031005
Damiansville	125837	-89.6230471	38.5102970
Khu 5 - Khu Thể thao	3853742	106.6862352	10.7393714
Paadenurme küla	351632	26.8488661	59.0245893
Mahdalynivka	1752229	34.9172487	48.9136340
Berantevilla	7160176	-2.8614961	42.6875157
Barrio Bartel	3080023	-55.1366713	-27.8565444
Ballintemple	6927407	-8.1017610	51.8304487
Krishna Nagar	5977125	82.7887479	27.5076939
Restinga Seca	7367135	-54.3409590	-28.2361063
Stadtbezirk 2	91148	6.8155623	51.2318444
Rincón de Amigos	4803247	-67.9220845	-38.9494056
Cloghdonnell	6879143	-9.3387877	51.5891134
Don Francisco	4759426	-68.0793063	-38.8290281
Vila Fernando	6440240	-7.3166918	38.9170269
