Ribécourt-la-Tour	55875	3.1329768	50.1037819
Auxey-Duresses	129336	4.7418441	46.9889440
Clonas-sur-Varèze	168183	4.7926977	45.4171852
Cerisy-la-Salle	1107711	-1.2699319	49.0370449
Miribel-Lanchâtre	227233	5.6144180	44.9753782
Allas-les-Mines	3236450	1.0740275	44.8277492
Gond-Pontouvre	87008	0.1654898	45.6795303
Pont-Trambouze	138540	4.3122768	46.0685746
Roussayrolles	1602394	1.8264895	44.0930582
Blaye-les-Mines	1466703	2.1432658	44.0331242
Ventura County	396505	-119.0771796	34.4470900
Oster-Ohrstedt	1406825	9.2491306	54.5087178
Bayburt merkez	1596962	40.1803239	40.2865041
Lower Hutt City	4266371	174.9898128	-41.2853141
Garteddi/Galtellì	40479	9.5887724	40.3863967
Luzerne County	417772	-75.9510387	41.1651500
Crowley County	1411320	-103.7784204	38.3027725
Costa de' Nobili	44262	9.3851004	45.1351180
Xinxing County	3031848	112.2028468	22.4471700
Yanyuan County	2786748	101.6228713	27.6913591
Le Sueur County	1795879	-93.7430262	44.3717272
Le Pin-en-Mauges	301797	-0.9063082	47.2540683
Town of Arietta	3157105	-74.5758465	43.5775045
gmina Nowy Targ	2665236	20.1454428	49.4821148
Town of Brazeau	5012535	-88.2486439	45.1569798
gmina Strzegom	3027710	16.3261636	50.9536867
Pittsford Town	2763735	-77.5277814	43.0657438
gmina Gostynin	2713320	19.3514076	52.4298512
gmina Wisznia Mała	2428152	17.0161439	51.2254370
gmina Strzelin	2955354	17.0668851	50.7698942
Ustrzyki Dolne	1748165	22.5943718	49.4300877
Qinyuan County	2963911	112.2496321	36.6744556
Forrest County	1832965	-89.2472016	31.1496589
São Pedro da Aldeia	2215562	-42.1168169	-22.7810267
Eichenbarleben	161682	11.4119348	52.1739968
Villar del Pozo	340227	-3.9643900	38.8500841
Ludvika kommun	57886	14.7014397	60.2101920
Laholms kommun	935662	13.1509104	56.5051481
Lake Okeechobee	1240556	-80.8028521	26.9442675
Panjshir river	7528075	69.5168645	35.3113979
Southwest Pond	1749199	-53.2256336	47.3478022
Southwest Pond	1782777	-53.9618780	48.9627898
South West Pond	1759510	-53.0830823	47.1138536
South West Pond	1922963	-56.1702468	49.7386253
Southwest Pond	1867880	-55.0701427	49.1881737
Southwest Pond	2342592	-55.8544340	52.0646090
Southwest Pond	2342591	-55.7775253	52.2222428
Southwest Pond	2578117	-54.9853156	48.5498349
Southwest Pond	1766025	-53.4202171	48.3216745
Southwest Pond	1872906	-55.8956170	49.9434592
Saint Paul's Bay	7510596	14.4001111	35.9354958
Lake Macfarlane	4614984	136.6995865	-31.8914300
Nørre Farup Klæggrav	7615341	8.6785100	55.3426664
Jezioro Gutowo	7345296	19.6688542	53.2430039
Vilar e Viveiro	4179953	-7.7691219	41.6674084
U.F Fail e Vila Chã de Sá	6443632	-7.9723715	40.6047804
Boyd's Mill Pond	178855	-82.2081353	34.4643969
Batchawana Lake	3581254	-84.3937692	47.0663766
MacDonalds Pond	2806830	-60.4607999	46.4476519
Canal Ibarlucea	5541086	-60.7411222	-32.8807029
Alvesta kommun	935435	14.4479309	56.8638267
Strzeszkowice	6135352	20.2833459	50.5419980
Boumba-et-Ngoko	2750739	15.1996017	2.8366234
Ensenada Majana	5230904	-82.7572860	22.6855059
McClellanville	194130	-79.4703715	33.0887619
Floresta do Sul	2659920	-51.3202487	-21.9588813
São José de Costa Real	7349942	-51.6265508	-29.2171859
Le Puits-des-Mézes	6870304	5.2760755	48.1380987
Caldeirões de Cima	6186276	-36.6672746	-9.3371675
Turčianske Jaseno	2183304	19.0633655	49.0098657
Paraíso da Piedade	5199704	-44.1596143	-21.4117500
Chomentów-Szczygieł	3419734	21.1652858	51.2824182
Swisher County	1810731	-101.7340440	34.5303169
Russells Point	182405	-83.8927531	40.4676195
Hovey Township	4046250	-79.6854669	41.1386257
Country Knolls	176295	-73.8082938	42.9137064
Vila Nova do Sul	242753	-53.8534992	-30.3514033
Ruda Zajączkowska	6232595	20.3138454	50.8757533
Cappanageeragh	4186449	-7.3567628	53.2754561
Merkaz HaCarmel	2658608	34.9841151	32.8043833
Cappanageeragh	6166284	-9.0972269	52.7413952
Lephalale Ward 1	3663244	27.6701236	-23.6631283
Ramstown Upper	2484084	-6.3082473	52.6617933
Lake Macfarlane	6249520	136.6955825	-31.8909881
South Kilworth	6674797	-1.1183440	52.4320629
Townplots East	5575123	-9.2103960	54.2097584
Swanton Novers	1022387	0.9912696	52.8474491
Ballaghnagearn	5640650	-6.8165754	53.9572073
Ondřejov u Perštejna	424794	13.0820176	50.3883600
Nodstown North	3504740	-7.9030078	52.5934898
Ixworth Thorpe	4496006	0.8204714	52.3219720
Kannaland Ward 1	6580338	21.2831842	-33.5033980
Kareeberg Ward 1	3578689	22.1207643	-31.0069320
Cederberg Ward 6	6582451	19.1469241	-32.1381265
Langeberg Ward 2	6582353	19.8928264	-33.8222511
Nether Haddon CP	947935	-1.6551474	53.1915668
Turčianske Jaseno	2228474	19.0633655	49.0098657
Juan María Gutiérrez	2238842	-58.1768772	-34.8326641
Pädagogenviertel	5654077	8.1287415	53.5367230
Logan's Reserve	5240923	-76.7217342	39.8637269
Strzeszkowice	4600360	20.3586194	51.4422011
Arris district	6225377	6.3300230	35.2642867
Carhuacallanga	1948276	-75.1988204	-12.3569451
Plaça de la Diputació	4763391	2.8208256	41.9821907
Arauzo de Torre	348926	-3.4348439	41.7924418
