Victot-Pontfol	280618	-0.0035373	49.1707088
Vendin-le-Vieil	1206406	2.8577440	50.4725169
Paray-le-Monial	910544	4.1090031	46.4429480
Vienne-la-Ville	2633884	4.8551190	49.1668209
Villiers-le-Bel	534505	2.4008505	49.0078973
Colmier-le-Haut	3085881	4.9836767	47.7894986
Lalevade-d'Ardèche	2574466	4.3124189	44.6526903
Doucy-en-Bauges	74475	6.1752369	45.6978959
Maxilly-sur-Léman	105733	6.6336544	46.3946511
Hiendelaencina	342796	-2.9912179	41.0807620
Meslay-du-Maine	393606	-0.5633534	47.9449636
Magdalena Medio	7154360	-74.6001710	6.5813416
Olang - Valdaora	47311	12.0134350	46.7399480
Roccabascerana	41020	14.7128151	41.0339053
Le Molay-Littry	131326	-0.8819024	49.2343575
Niederbachheim	540464	7.7655009	50.2475521
Cava de' Tirreni	40684	14.6993259	40.7123796
Tione di Trento	46601	10.7013889	46.0398138
Vitovsky Raion	1738974	32.2108532	46.9169942
Santiago Camotlán	6000075	-96.1585974	17.5448853
Juan R. Escudero	5605942	-99.3829339	17.1368438
Loudoun County	944948	-77.6652879	39.0853788
Niederheimbach	1245247	7.8091004	50.0190011
San Pietro in Gu	45441	11.6678367	45.6147646
Turpan/Tulufan	2747197	89.7954772	42.4158257
Trevi nel Lazio	41584	13.2476920	41.8788196
Whitley County	1846593	-84.1632842	36.7810360
Town of Madison	4020415	-89.4325735	43.0336124
gmina Koluszki	2924817	19.8202396	51.7212624
Whitley County	1797315	-85.5127240	41.1401117
Novohuivynske	3886272	28.6927789	50.2066753
Windsor County	60836	-72.5489552	43.5921305
Wyandot County	911296	-83.3138609	40.8496318
Abbadia Cerreto	44679	9.5980980	45.3199164
Lingyun County	2773978	106.6586559	24.3574988
Borgo a Mozzano	42757	10.5308326	43.9767281
Tatarszczyzna	6834957	23.5992759	53.4426441
Obermichelbach	1016402	10.9107407	49.5273583
Lac Lafeuillade	932899	-79.2287517	46.9612817
Lake Callabonna	4616871	140.1554083	-29.8394401
Żerniki Wrocławskie	6374587	17.0528745	51.0262845
City of Norwich	3166331	-75.5218203	42.5344614
Øvre Håkodalsvatnet	4787637	8.6903918	62.4854417
Osiek Pierwszy	3949977	19.9514266	52.2350010
Étang du Grand Épinay	4623515	1.4243925	46.7297783
Dörteylül Mahallesi	6906592	36.9959857	39.7414991
Vila Franca do Deão	2403589	-7.2541896	40.6590041
Torre e Portela	4169390	-8.3727098	41.6575360
Bhattarai Danda	5691341	83.9331951	27.8834440
Bajit Guhkessáiva	7202987	23.2188091	69.1985780
Viraudas ezers	30097	27.3954547	56.2229330
Upper Township	4661478	-74.7142086	39.2454300
Gidegingla Lake	2462318	-124.2330220	55.1108856
Wufu Reservoir	1946088	110.8162429	25.9974995
Loch Salachaidh	1453547	-4.0956740	58.0051046
