Torcy-en-Valois	1792587	3.2752520	49.0835325
Brion-sur-Ource	149307	4.6678024	47.9021002
Marey-sur-Tille	150563	5.0799674	47.5890033
Oberhausbergen	75141	7.6789342	48.6092976
Urou-et-Crennes	3307701	0.0092780	48.7579339
Romanèche-Thorins	2634540	4.7390439	46.1920249
Légéville-et-Bonfays	941601	6.1574576	48.1858516
Saint-Léger-Vauban	2166181	4.0618844	47.3725647
Lafitte-sur-Lot	1969340	0.4309781	44.3578241
Moulins-sur-Yèvre	191436	2.5290635	47.0955046
Jaffna District	3237345	80.0789669	9.6949999
Balassagyarmat	1370323	19.2895567	48.0638225
Cabrières-d'Aigues	76189	5.4912600	43.7879533
Cividate Camuno	46542	10.2690688	45.9405759
San Antonio Palopó	4484813	-91.1025802	14.6640253
Djelfa District	6819844	3.2103769	34.6659264
Chabahar County	6555275	61.1967616	25.5024045
Hachem District	6822077	0.5256923	35.3046886
Pereña de la Ribera	343095	-6.5224960	41.2356023
Santa Marinella	41734	11.8706412	42.0420383
Bedero Valcuvia	46461	8.7973195	45.9105660
Braunichswalde	2789040	12.2290236	50.7970359
Mongiuffi Melia	39397	15.2577862	37.9081686
Acheng District	2755756	127.1547577	45.4991511
Sucha Beskidzka	2362622	19.5822989	49.7323152
Sucha Beskidzka	2804084	19.5822989	49.7323152
Town of Newport	3157122	-75.0493508	43.1792145
caïdat d'Al Ouidane	5373606	-7.8799131	31.6297804
caïdat de Ait Ishaq	5366437	-5.7634496	32.7086956
Gallneukirchen	89524	14.4184401	48.3548247
Elephant Island	2968182	-55.2151066	-61.1679146
La Croix-Blanche	1970112	0.6957235	44.2914459
Città di San Marino	3012945	12.4410072	43.9289486
La Ferrière-Airoux	139287	0.4060743	46.3150832
Xunqueira de Ambía	346787	-7.7056046	42.1837371
Richland Parish	1838159	-91.7349552	32.4095479
La Guingueta d'Àneu	341315	1.1605636	42.6089694
Heckscherville	189222	-76.2643873	40.7207360
Gidan Rugga More	3707469	5.2652640	13.1006647
Apache Junction	110779	-111.5374041	33.4006195
Lac des Bardanes	3134412	-74.0152210	49.2241356
Paypeeshek Lake	4049212	-82.6621567	48.5351671
Kjeddingvannet	7661369	7.4099689	58.2231434
Pieni Tallusjärvi	35873	27.0609270	62.9060000
Skuledalsdemma	6161027	6.2653045	62.4977206
Aleksandrowice	3222879	19.7546958	50.0892996
Paredes da Beira	6446335	-7.4724023	41.0615525
Sezelhe e Covelães	4022005	-7.9038582	41.8219547
Siecieborowice	6373300	17.2294003	50.8720525
Iso Helvetinjärvi	2146436	23.8000850	62.0619903
Langvasstjønnene	4677220	14.1391440	66.9194107
Cīravas dzirnavu dīķis	2539130	21.3881803	56.7351220
Tunga Mallamawa	3707623	5.4165528	13.0700831
Trail Gulch Lake	1339788	-122.9368879	41.1822797
Perfection Lake	4152030	-120.7970453	47.4802683
Firetrail Creek	3825315	-83.4587499	47.2986515
Firetrail Creek	3825329	-83.4746116	47.3372057
Kayigyalik Lake	7019683	-162.4930576	61.0380278
Estero Río Naranjo	5936975	-85.7087405	11.0852541
Goodes Mill Lake	6613436	-88.4329963	30.4875280
Sarkin Zamfara B	3707590	5.2304582	13.0450500
Lake Providence	4116783	-84.3038156	34.1111943
Lake Providence	377193	-80.7823362	35.0685699
Lochan an Fheidh	385747	-5.0792389	58.3814773
Ricestalk Creek	5992990	-90.1060507	49.0598645
Strickland Lake	4099600	-84.9660687	48.7501717
North Chubb Lake	3763560	-83.7973111	47.1969880
North Chubb Lake	3774180	-83.8130669	47.1843505
Gornje Krajince	7223147	22.0469879	42.9907581
Hanley Park Lake	2763120	-2.1767035	53.0129476
Large Enton Lake	6845546	-0.6376979	51.1574886
Yemezegn Kebele	6293748	37.4877580	10.3662550
Blybergsdammen	5805985	14.1338849	61.1480988
Carmelo Peralta	6585927	-58.3242095	-21.6596644
Pasatchaw Lakes	2957669	-110.1229079	53.5177428
Palace District	1198055	30.3243411	59.9417293
Nghi Xuân District	7036466	105.7573744	18.6436449
Bellengreville	145794	-0.2271454	49.1200821
Friedrichsthal	419191	7.0898525	49.3297708
Benneckenstein	4008632	10.7317157	51.6609849
Berezanka Raion	1738967	31.3734085	46.8293296
Dolmar-Salzbrücke	2909800	10.5185409	50.5809651
Bad Salzschlirf	454867	9.4894555	50.6372728
Paris Island Big	3998434	-7.6926767	54.4158689
Isla Menanguera	6148989	-87.7119209	13.1897681
Bird Island Pier	2702918	-78.9032215	42.8998785
Pescador Island	5358419	123.3441083	9.9229046
Antoine-Labelle	1490842	-75.2051770	46.8584127
Great Neck Plaza	174473	-73.7286727	40.7858264
Sông Hinh District	7077719	108.8951523	12.9034832
Handschuhsheim	3283780	8.6923433	49.4339300
Valle Escondido	7322566	-64.2745192	-31.3672546
Manuel Belgrano	5970233	-60.5934009	-33.9046864
Varudi-Vanaküla küla	353984	26.5890610	59.4046753
Markgrafpieske	3330673	13.9497500	52.3187692
Friedrichsthal	5950852	7.0936803	49.3227126
Manuel Belgrano	6117169	-62.9979033	-40.8050193
Alto Castelinha	1902805	-40.9987573	-20.4965769
Manuel Belgrano	6894971	-64.4994313	-31.4269383
Attymass East ED	5853487	-9.0646410	54.0461595
Zvolenská Slatina	2265042	19.2436868	48.5429350
