Aubigny-la-Ronce	131000	4.5999219	46.9891160
Halloy-lès-Pernois	1353532	2.2055254	50.0440886
Potaro-Siparuni	7108941	-59.4194368	4.8621613
Vert-Saint-Denis	80225	2.6312036	48.5652655
Chevry-Cossigny	87124	2.6737749	48.7209284
Ranspach-le-Haut	85394	7.4186942	47.5809202
Soulaines-Dhuys	3005821	4.7187018	48.3779476
Nançois-sur-Ornain	2994211	5.3213377	48.7219254
Rivière-les-Fosses	3100927	5.2273482	47.6454437
Humes-Jorquenay	3173556	5.3014182	47.9027681
Challes-les-Eaux	109273	5.9846048	45.5500718
Echternacherbrück	1163500	6.4422052	49.8212241
Saint-Gérand-le-Puy	2783827	3.5084508	46.2613682
Asnières-en-Poitou	146547	-0.2077051	46.0896190
Pyokdong County	5452898	125.4206891	40.5307627
Nyaka Sub-County	934570	29.6922809	-0.5718339
Ruppertsweiler	1251158	7.7101033	49.1956303
kangavar County	6555176	47.9642846	34.4518834
City of Prijedor	5729592	16.7473164	44.9466084
Tarikere taluku	4433764	75.8256335	13.7008821
cercle d'Oultana	5146478	-6.8331583	31.7203931
Nrokwia-Wesldow	4001344	-8.3272113	4.8205440
City of Humboldt	7315291	-105.1171195	52.1974124
Mangaluru taluk	3804915	74.9050112	12.9638351
Pingyuan County	3233740	115.9087047	24.6658581
Treasure County	1740652	-107.2374141	46.1697505
La Motte-du-Caire	1663057	6.0285586	44.3410971
Yushui District	3182930	115.0686334	27.8414668
Town of Kirkland	3669578	-75.3879335	43.0477689
Town of Edinburg	3143372	-74.0608701	43.2391015
gmina Choszczno	2896018	15.4976514	53.1728063
Microrregião Vitória	1843580	-40.4382494	-20.2744106
gmina Zaleszany	2970444	21.9305478	50.6437060
gmina Stary Targ	1582850	19.1714432	53.9525207
gmina Magnuszew	2586015	21.3539091	51.7734840
Shouning County	3277231	119.4823286	27.4242045
Yongping County	2727743	99.5521999	25.3996303
Isca sullo Ionio	39662	16.5063537	38.5911308
La Barre-de-Monts	156331	-2.1150176	46.8741001
Zaqatala rayonu	3764588	46.7624434	41.6185108
Luzhou District	2869400	121.4692644	25.0879071
Yongchun County	2666967	118.2438634	25.3788729
Vellinge kommun	935451	12.7969099	55.3193403
