Berneuil-en-Bray	164209	2.0570943	49.3582651
Fontaine-au-Bois	54819	3.6458568	50.1361035
Ressons-l'Abbaye	457016	2.0839285	49.2951811
Satolas-et-Bonce	76467	5.1203082	45.6818680
Forest-Montiers	1269468	1.7422998	50.2416244
Graye-et-Charnay	140207	5.4518107	46.4725872
Cuyuni-Mazaruni	7108866	-59.8532685	6.1875024
Granges-le-Bourg	303124	6.5871097	47.5773858
Bouxières-aux-Bois	157470	6.3224850	48.2562789
Bagneux-la-Fosse	2994755	4.2886355	47.9984603
Roppentzwiller	391758	7.3276688	47.5356262
Asnières-sous-Bois	2689633	3.6426535	47.4787264
Jonville-en-Woëvre	2968041	5.7766737	49.0647049
Saint-Martin-d'Août	67067	4.9875721	45.2223854
Vitray-en-Beauce	2161276	1.4162663	48.2757169
Monétay-sur-Allier	2815661	3.2850614	46.3813565
Menetou-Couture	1710455	2.9354854	47.0363574
Pyongsan County	5456500	126.3692727	38.3215496
Forges-les-Bains	1209199	2.0843637	48.6181331
Schuyler County	1800728	-90.6279254	40.1315519
Valle-di-Mezzana	135740	8.8185614	42.0252313
Vittorio Veneto	46555	12.2964716	45.9978642
Saint-Savournin	93610	5.5251462	43.4024895
Le Cateau-Cambrésis	55561	3.5323487	50.0875399
Magdalena Apasco	5999611	-96.8083266	17.2493155
Jagaluru taluku	4210094	76.3200793	14.5550033
Municipio Cárdenas	3326501	-72.0578351	7.7837674
okres Praha-východ	441584	14.7192179	50.0828112
Schuyler County	1837994	-76.8956201	42.3922405
Dakshina Kannada	2020528	75.1008028	12.8114088
Watonwan County	1795882	-94.6148846	43.9797400
Town of Marshall	3669581	-75.3888933	42.9761765
Town of Halfmoon	3143380	-73.7229454	42.8579694
La Treinta y Seis	5408853	-66.5710879	-47.3072269
gmina Choroszcz	3092520	22.9789228	53.1441124
Caïdat de Talambote	4775779	-5.1357775	35.1680960
Zhen'an District	5677167	124.2953036	40.2330685
Schuyler County	1180500	-92.5268214	40.4704208
Zhaoyuan County	2755195	124.5982946	45.6828552
Sequoyah County	1820237	-94.7532113	35.4650155
Fränkisch-Crumbach	451780	8.8466416	49.7456376
Le Castellard-Mélan	2136776	6.1270928	44.1993895
Gravel Beach Lake	5981224	-90.6518342	49.2668018
Mosul Reservoir	1225740	42.6484583	36.7916249
Großdubrauer Teich	363482	14.3621804	51.2660348
Speicherbecken Süd	1610746	8.7773042	54.6714916
Balaghkeeran Bay	4181016	-7.8945605	53.4520200
Gyékényesi kavicsbánya-tó	3026944	16.9801031	46.2448414
Canal Maria Conga	2848992	-51.2592796	-30.0060075
Eitretjørne, nedre	4820462	8.2599947	60.7346229
Jezioro Zatorze	5602430	18.2568599	52.2393903
Jezioro Rucewo Małe	88221	19.5453656	53.7947920
Big Mcdonald Lake	407043	-95.7518284	46.5659451
Xueye Reservoir	3468126	117.5845338	36.4299843
Storemyrvannet	3442826	7.9515199	58.1752309
Mannajigama Lake	932733	-79.9079325	47.2282665
Loch Laingeadail	1611107	-6.3708256	55.8583050
Xikou Reservoir	4483587	119.8805147	29.2724986
Meryovskoe lake	2983044	30.1015772	58.7711093
Thanh Thủy District	7117393	105.2878579	21.1237810
Lake in the Hills	126052	-88.3821910	42.2029010
Murphys Estates	194707	-81.9413992	33.5990980
Wetlet Township	5996879	95.7730368	22.3483009
Neu-Ruppersdorf	7832237	10.7438477	53.9710405
Mölltorp distrikt	7431264	14.4252267	58.5221070
Brevik distrikt	7431265	14.4755746	58.4488915
Santo Antônio do Canaã	1910756	-40.6538939	-19.8508440
Kastsyukovichy	6722678	32.0560001	53.3560790
Clontarf East B ED	4565134	-6.1686475	53.3597344
Town of Richmond	6627787	-88.6749139	44.8111241
Boston Township	3748904	-81.5826841	41.2398350
Quỳnh Nhai District	7120726	103.6611321	21.7748921
Königschaffhausen	2694069	7.6591343	48.1339540
imeni Lazo Rayon	1651739	136.0715882	47.8556896
Ripley Township	7632172	-82.5834329	41.0191684
Tryokhselsloye	3566369	41.3025384	44.6783091
Clontarf East B ED	5541475	-6.2069325	53.3613952
Carrigeennahaha	5675586	-7.4548193	52.1452818
Deer Park (Clarke)	4716832	-7.3549970	54.6027450
Villas los Arcos	4078637	-100.3692682	20.5994848
Retiro dos Lagos	5548962	-41.9920793	-18.8515855
Setor Progresso	6870189	-49.2927625	-16.6492932
Drumroosk North	5481054	-7.8984783	54.0441549
Lingstown Upper	3615837	-6.4833399	52.2143609
Rowlestown East	4198411	-6.2953060	53.4934778
Emalahleni Ward 3	3667396	29.1061315	-25.8588286
José Conrado de Araújo	4023060	-37.0823581	-10.9060933
Dezoito do Forte	4023050	-37.0732034	-10.8980182
Port Pirie South	6376030	138.0272978	-33.2091764
4e Belle Fontaine	392183	-72.2383938	18.3771700
Little Stretton	6702010	-1.0172150	52.5995873
Ballaghaderreen	4621491	-8.5831701	53.9042303
Yeni Batı Mahallesi	6747495	32.6755979	39.9825544
Demetgül Mahallesi	5546301	32.7940105	39.9613250
Ntambanana Ward 2	3649292	31.6723276	-28.5298451
Podmoky u Městce Králové	432692	15.2428813	50.1956187
Linton CP (S Cambs)	1633149	0.2863257	52.1000966
Loteamento COCIZA	7071537	-48.2315526	-21.7914648
Nová Ves u Postupic	436443	14.7358528	49.7175828
Přáslavice u Olomouce	431091	17.4013250	49.5882103
Slatina u Velvar	431579	14.2168627	50.2203963
Emalahleni Ward 3	3592806	27.3626386	-31.6630850
Matjhabeng Ward 2	3595384	27.0819419	-28.0115711
Imbabazane Ward 9	3645828	29.5453945	-28.9791452
Santa Felicidade	6072782	-49.3290071	-25.3963589
Topolany u Vyškova	432674	17.0395445	49.2705585
Santa Felicidade	7161766	-54.7428584	-22.2542374
Sarıayak Mahallesi	6698656	32.6263867	40.2646723
Bairro São Benedito	7733926	-47.8349324	-23.0421207
Bradford-on-Tone	2641874	-3.1807476	51.0019878
Santa Felicidade	6727064	-53.4648236	-24.9919682
Departamento Belén	1568254	-66.9187841	-26.9816275
Putnam Township	901506	-83.9673251	42.4672085
Baltieji Lakajai	2090909	25.6272812	55.2117597
Residencial Hübner	6010703	-53.7962099	-29.6924379
Taman Citra Fasa 2	5295992	100.4015179	6.1532467
Residencial Itajú I	7291125	-54.8418953	-22.2044774
Country del Golf	3642304	-60.7713294	-32.9203296
Barrio La Alameda	3578660	-58.6708721	-34.4101603
Governor's Place	2312574	-95.7716498	29.7767323
Lucio V. Mansilla	2289630	-64.7084832	-29.8050396
Town of DeRuyter	3169194	-75.8511142	42.7807439
Wartenberg (VGem)	2981618	11.9619131	48.4079251
Hunderdorf (VGem)	2980094	12.7514734	48.9612336
Karl-Meyer-Platz	7107682	7.0629948	51.4852490
Place de l'Europe	2547825	6.1418164	49.6180808
Place François Rude	7772451	5.0391482	47.3222031
Pabellón de San Martín	908753	-5.6640941	40.9646103
Auritz/Burguete	348083	-1.3292489	42.9887905
Poyales del Hoyo	340673	-5.1626035	40.1708086
Santibáñez de Esgueva	343392	-3.7479847	41.8306445
Jaunpils novads	1781248	22.9419874	56.7742217
Suyan Reservoir	7634391	110.1346682	22.7760777
