Pournoy-la-Chétive	122419	6.1514975	49.0180191
Louvie-Soubiron	2093532	-0.3162022	43.0151995
Thiéblemont-Farémont	2618461	4.7297556	48.6929209
Sauvigney-lès-Gray	902259	5.7312620	47.4571111
Demerara-Mahaica	7105917	-58.1269385	6.4542020
Saint-Jean-de-Trézy	2615727	4.5836615	46.8424199
Andert-et-Condon	146651	5.6638312	45.7842128
Murs-et-Gélignieux	145864	5.6638966	45.6402625
Conilhac-Corbières	2246057	2.7115341	43.1857291
Rosières-près-Troyes	415156	4.0622086	48.2637676
Lichères-sur-Yonne	3333692	3.5948079	47.4899967
Verel-de-Montbel	78929	5.7218443	45.5545669
Faveraye-Mâchelles	325728	-0.5079814	47.2359823
Niederfischbach	422322	7.8741682	50.8533546
Santa María Zoquitlán	6000064	-96.3557457	16.5615429
Katsuura County	4059001	134.3959342	33.9093234
Molino dei Torti	44009	8.8964511	45.0284395
Gwinnett County	964803	-84.0468977	33.9578270
Torino di Sangro	41831	14.5362217	42.1946227
Xing'an District	5648513	130.1316613	47.2428295
Crow Wing County	1796047	-94.0701095	46.4818790
Desa Kambata Tana	7233144	120.3313814	-9.7517112
Batas Desa Bebuak	3815413	116.3608523	-8.6133617
caïdat de Galdamane	4780983	-3.9126996	34.1444878
Caïdat de Kaa Asrass	4775775	-5.1439816	35.3104166
Reynolds County	1180542	-90.9650120	37.3200757
Petit lac Vaseux	7436381	-71.3105529	45.6000379
Voorste Goorven	1258256	5.2070671	51.5644207
Daecheongho Lake	413915	127.4974765	36.4171901
Barrage Kef Eddir	7636969	1.6448092	36.4621198
Nivigne et Suran	6492580	5.4187127	46.2824918
Étang du Pont rouge	6201682	3.9628756	50.4463610
Storglupvatnet	4786508	8.7354441	62.4651967
Caçarilhe e Infesta	4175630	-8.0483215	41.4139456
Couto de Esteves	6022243	-8.3014570	40.7639973
Laguna Magdalena	7268660	-71.4696927	-44.4521003
Northwest Ponds	3632255	-122.3132447	47.4285333
Wernstein am Inn	660038	13.4837329	48.5049827
Vereda Alto Eslabón	7128774	-76.6819121	1.0526033
Lake of the Pines	5640531	-107.8114599	37.6071376
Embalse del Celemín	3846466	-5.7451588	36.3083767
Khadag Bhanjyang	7728940	85.0961659	27.8879989
Patton Township	420691	-77.9310610	40.8245150
Club Náutico Cinave	3623181	-58.5605983	-34.4184164
McMillan Flowage	1619367	-60.6478621	46.5214239
Bahía de Tangolunda	1701146	-96.0918592	15.7678342
Southwest Hills	7739176	-122.7146134	45.5041195
Gosen-Neu Zittau	55778	13.7611278	52.3789946
Town of Spafford	4202413	-76.2896377	42.8336398
Skaudvilės seniūnija	3579560	22.5800604	55.4109491
Quinto Distrito	7414506	-52.4156319	-31.0169811
Quinto Distrito	7592701	-52.9811746	-31.6553083
Diputación de Albujón	3356098	-1.0494998	37.7099989
Alto Mutum Preto	1980333	-40.9000172	-19.2754778
Alto Mutum Preto	1969640	-40.8834539	-19.3491918
Town of Franklin	3302400	-75.1151094	42.3435490
Clontarf East C ED	4565135	-6.2002346	53.3644395
Podgórze Duchackie	2645869	19.9603606	50.0167850
Drumcliff East ED	5503722	-8.4357845	54.3076915
Engenheiro Beltrão	297766	-52.2820903	-23.7616826
Paso de las Limas	4610350	-97.1501004	20.2927605
Zolsky District	1059355	42.7640291	43.6525035
Lykens Township	7383490	-83.0261842	40.9430136
Mullaghduff (Big)	4299657	-6.3529831	55.1370688
Morro do Espelho	7257890	-51.1401805	-29.7766273
Vila do Cruzeiro	3576691	-47.9695518	-23.0748772
Parkstown Lower	5407037	-7.0634548	52.3579199
Emalahleni Ward 4	3667402	29.1250894	-25.8491801
Moinhos de Vento	5320177	-51.2033889	-30.0234794
Hawkstown Upper	4492430	-6.0801677	52.9652617
