Monceau-le-Waast	74132	3.7192372	49.6228282
Douville-en-Auge	169034	-0.0243258	49.2649003
Heuilley-sur-Saône	153136	5.4665400	47.3373269
Brazey-en-Plaine	155953	5.2054184	47.1377386
Tincourt-Boucly	3354170	3.0442427	49.9379640
Barisey-au-Plain	2772999	5.8534941	48.5238059
Dommartin-lès-Toul	1947466	5.9195837	48.6728466
Villarzel-du-Razès	1993826	2.2005885	43.1445831
Muespach-le-Haut	390662	7.4071831	47.5410720
Barret-de-Lioure	77527	5.5109538	44.1767454
Molières-Cavaillac	386189	3.5675111	43.9716862
Lindau (Bodensee)	959426	9.6961918	47.5728668
Fleurieu-sur-Saône	116947	4.8495096	45.8582431
Oussoy-en-Gâtinais	110047	2.6412452	47.9001427
Moultrie County	1800581	-88.6421994	39.6264157
Saint-Paul-en-Forêt	2135117	6.6827345	43.5678838
Honnavar taluku	4176386	74.5755688	14.2712116
San Felipe Tepatlán	6037772	-97.7832919	20.1193579
L'Assomption (MRC)	7706375	-73.4414806	45.8224601
Arzuiyeh County	6554875	56.5562038	28.4721718
Gunnison County	416905	-106.9755041	38.7022020
La Chapelle-Biche	304594	-0.6225033	48.7138905
Bashkia Memaliaj	7700265	19.9280796	40.4171193
Gotlands kommun	1125739	18.6384635	57.6783173
Varbergs kommun	935585	12.1279278	57.1483658
Town of Lakewood	4860567	-88.4306564	45.3454693
Town of Fishkill	3235514	-73.9021551	41.4991624
Dissen-Striesow	1322842	14.2741462	51.8313744
Carmzow-Wallmow	1334085	14.0619164	53.3673532
Gemeinde Jaidhof	422130	15.4647820	48.5521985
Bustillo del Oro	342490	-5.4467365	41.6732071
Fresno de Torote	340940	-3.4115477	40.6080861
Bình Giang District	7133255	106.1955714	20.8728041
Lac de la Glace Fière	931679	-78.6839636	46.8988395
Lake of the Isles	6542743	-76.3170333	44.2790273
East Grand Bahama	3776651	-78.0712705	26.6844246
Estany del Pujol	2803605	-0.3141951	39.3472132
Madalena e Samaiões	4194888	-7.4727836	41.7153508
Miyun Reservoir	63215	116.8888130	40.5133723
Peracher Badesee	1548000	12.7579110	48.2561934
Chamberlain Lake	1878720	-69.3434794	46.2470220
