Tillières-sur-Avre	1225227	1.0350852	48.7583216
Salins-les-Bains	546937	5.8755651	46.9479512
Peyrusse-Massas	132362	0.5544297	43.7404951
Esnes-en-Argonne	2965808	5.2110947	49.2098535
Poinson-lès-Nogent	3072218	5.3823129	47.9905709
Tercis-les-Bains	116837	-1.1171576	43.6709611
Saint-Jean-de-Fos	276063	3.5425059	43.6954735
Saint-Jean-de-Nay	118578	3.6937550	45.0678422
Ryongnim County	5475708	126.7669160	40.5156834
Le Bourg-d'Oisans	1347500	6.0583912	45.0283094
Monterey County	396485	-121.5233761	36.3523044
Grünhain-Beierfeld	419005	12.8107765	50.5778314
powiat kielecki	2425720	20.8816900	50.8018727
San Vicente Coatlán	5999961	-96.8320352	16.3759850
Aïn El Berd District	6820414	-0.5079279	35.3441494
Aïn Kechra District	6229232	6.6672585	35.8959742
Badacsonytördemic	1078520	17.4724130	46.7709634
Kannur district	2018247	75.4633526	11.9121929
Mirassol d'Oeste	333719	-58.0508013	-15.5850000
Yongxing County	3123970	113.2937255	26.2342529
Johnston County	2528713	-78.3738271	35.5523850
Town of Crawford	3245812	-74.3385838	41.5671709
Town of Hyde Park	3233126	-73.9071821	41.8079010
Town of Woodland	3886757	-90.2516545	43.5768544
gmina Przysucha	2685054	20.5744383	51.3363333
Yuzhnoukrainsk	3585163	31.2246582	47.8393073
Xiangyun County	2727741	100.6884264	25.5320896
Treutlen County	1074318	-82.5476152	32.4030575
Suure-Jaani linn	351896	25.4657003	58.5318746
Johnston County	1822216	-96.6709520	34.2773325
Espinoso del Rey	341909	-4.7859483	39.6407231
Old Orchard Beach	2021558	-70.3617071	43.5110614
Strömstads kommun	935489	11.1787303	58.9381501
Vícenice u Náměště nad Oslavou	442096	16.1258538	49.2007925
City of Freeport	3776653	-78.6558079	26.4047754
Montcerf-Lytton	7357977	-76.0791039	46.5745374
Étang de la Pimardiére	6522666	1.7141957	48.8142410
Zdziłowice Trzecie	7447383	22.5313302	50.7939369
Yiğitler Mahallesi	6894456	37.0253073	39.7538152
Saint-Roch-Ouest	7704066	-73.6753665	45.8616734
Alleyn-et-Cawood	7045910	-76.2337484	45.9127072
Cassagranda Lake	1936217	-88.0950378	46.2294079
Gemeinde Pöggstall	554893	15.1854301	48.3182492
Lac Kaiakuakamat	5144406	-59.7980766	50.5826477
Black Island Lake	538272	-93.5304002	47.5266453
Qishou Township	6790261	105.7610162	34.3511625
Bairasagara Kere	1833842	77.7179171	13.6625531
Río Pasaje Talavera	3645013	-59.1539184	-33.8816670
Lake Callemondah	6068725	151.2340268	-23.8583038
Isle of Stenness	4223774	-1.6249483	60.4737936
Zawrocie-Nowiny	7060059	22.5319573	52.9426262
Nanyun Township	5996763	96.0244008	26.9211231
Svartvik omland	3068265	17.3445922	62.3161289
Senador José Porfírio	6278374	-51.5764076	-4.3124175
Ceanannas Mór Urban	6967483	-6.8780583	53.7273444
Town of Maryland	3158844	-74.8484733	42.5458990
Oxelösunds kommun	935524	17.2856552	58.5581970
Stokes Township	3177670	-83.9257979	40.4925320
Zeysky District	1748894	128.1808284	54.2261371
Espigão Alto do Iguaçu	297861	-52.7731189	-25.3810924
Matjhabeng Ward 6	3595405	26.8934050	-28.1477323
Quinspool North	6368046	-8.6391223	52.6985369
Barnacleagh East	4538399	-6.2288149	52.7994816
Parkstown Upper	5407038	-7.0766436	52.3607094
Emalahleni Ward 7	3667405	29.1089950	-25.8625710
Johnstown North	4750139	-6.8856552	52.9089303
Drakeland Middle	4818882	-7.2901592	52.6433755
Johnstown North	4504926	-6.1199641	52.8329582
8e Belle Fontaine	411188	-72.1383538	18.4471193
Tullyally Lower	5149078	-7.2886287	54.9729614
Powerstown East	2844567	-7.0040094	52.6077417
Commons of Lloyd	4651101	-6.9091221	53.7348748
Heworth Without	7235930	-1.0320730	53.9782882
Ntambanana Ward 6	3649296	31.8267567	-28.5062169
Prostřední Rokytnice	429049	16.4658545	50.1784413
Luh nad Svatavou	430894	12.5760227	50.2175860
Potters Marston	6626260	-1.2712821	52.5625035
Emalahleni Ward 7	3592810	26.9730444	-31.7464036
Raheenabbeyland	6114699	-9.1633700	53.7113082
Hostim u Berouna	428914	14.1214760	49.9586579
Vícenice u Náměště nad Oslavou	436313	16.1258538	49.2007925
Drewscourt West	5342728	-8.8158512	52.3900469
Lagnagalloglagh	5407973	-7.3626702	54.8528798
Ballymack (Flood)	5230096	-7.3202149	52.5708805
Moymucklemurry	4840420	-6.6583860	54.7164523
Camly (Macullagh)	5234123	-6.5612080	54.1697872
Groton Township	7818162	-82.7932343	41.3267276
Niedarczów Dolny-Wieś	3629133	21.3914729	51.2734960
Senador José Porfírio	185633	-51.5764076	-4.3124175
Wola Mieczysławska	7793400	22.5342904	51.4988438
Südliches Saaletal	2904029	11.5309376	50.8268660
Gerolfinger Straße	5623489	11.4011653	48.7645802
Planes De Puntaldía	5876112	-86.2557023	12.1051542
Pitäjänmäen yritysalue	187591	24.8711600	60.2200705
Cascina Gabirano	6797288	9.0873613	45.4009169
Headland Village	6838290	114.0157792	22.3018509
Yuncu Reservoir	7752822	112.7843516	37.0646045
Marktbreit (VGem)	2986728	10.1587941	49.6505388
Hoyos del Espino	342016	-5.1757033	40.3299775
Graben - Bastioni	5378836	11.9364918	46.7957888
Bni Ahmed Cherqia	2563411	-5.0609334	34.8385353
El Maader El Kabir	2888249	-9.6689652	29.8258625
