Villers-au-Tertre	56104	3.1767479	50.3002262
Gigors-et-Lozeron	79734	5.1048134	44.8253815
Lignières-la-Carelle	109905	0.1716417	48.4337419
Villy-le-Bouveret	75199	6.1602958	46.0450949
Saint-Julien-Gaulène	1584116	2.3456910	43.9971697
Rivas-Vaciamadrid	343293	-3.5189481	40.3490446
Ansbach (district)	62609	10.3792908	49.2345633
Adrara San Martino	45745	9.9448817	45.7158243
Semèstene/Semestene	40445	8.7158470	40.3723003
Berrahal District	2688531	7.4790502	36.8930255
Pachalik de Arfoud	5150504	-4.2332299	31.4350723
Pachalik de Loulad	5183339	-7.1316904	32.9883290
Mancheng District	5674887	115.2835801	38.9275594
Pogliano Milanese	45230	8.9946802	45.5364441
Haojiang District	3283306	116.6938109	23.2799950
Vallesa de la Guareña	345671	-5.3222194	41.1511351
Tabanera la Luenga	340109	-4.2385770	41.1011304
Hesa Awal Kohistan	6611010	69.3437005	35.1327277
Condemios de Abajo	339892	-3.1012611	41.2150737
Town of Johnstown	3143381	-74.4334949	43.0492210
Peguyangan Kangin	7789790	115.2281687	-8.6088536
caïdat d'Bir Anzarane	5360637	-14.6982067	24.1351913
caïdat de Tafoughalt	4753385	-2.3705771	34.7214112
Central Chongqing	2693316	106.5020132	29.5125531
Microrregião de Lins	4782245	-49.7449028	-21.6705000
Castiglione d'Adda	44487	9.7008951	45.2250864
Sambuca di Sicilia	39312	13.1429071	37.6565729
el Port de la Selva	340545	3.2453287	42.3219257
Gemeinde Spillern	114894	16.2697155	48.3760519
Aldeanueva de Ebro	348199	-1.9073053	42.2208092
New Holland Island	1576204	30.2898111	59.9296793
Bocana de Apancoyo	6290264	-89.6647656	13.5322384
Parroquia Chirica	2578663	-62.6284520	8.3140114
Municipio Collana	4500832	-68.3330456	-16.9211730
São Miguel de Poiares	6553861	-8.2162919	40.2197615
Nedre Kammavatnet	6219398	10.0506577	63.8980206
Vallons-de-l'Erdre	7853837	-1.1531225	47.5349094
Bukasa Kumbi Kumbi	6078065	23.6338807	-6.1106150
Sidi H'Mad Ou M'Barek	2820880	-9.6949986	30.8506329
Lac du jardin d'eau	1240951	2.9445192	47.6981798
Vuolit Spielgajávri	7206337	23.3259714	69.2579787
Mattaweara Lagoon	4615024	136.9004733	-30.2033750
Nushatogaini Lake	3825316	-83.4228991	47.2943578
Hermansville Lake	1936928	-87.6120114	45.7135665
L'Ardoise Long Lake	1533059	-60.7226063	45.6312131
Tabanni-Yarraddau	3711817	7.8495864	12.0876238
Municipio Camargo	4509376	-65.1577619	-20.5999296
Laguna Pastan Tara	5810083	-83.2732439	14.5139302
Loch Dubh na Creige	936797	-5.7002975	57.4531824
Lac Boulay Supérieur	1844779	-69.2400840	48.7598147
Flickschupark See	4019156	11.8662106	52.2700859
Kauppaer Altteich	2411827	14.4780630	51.2915867
Commune Miragoane	391241	-73.0543404	18.3414996
Laocheng District	3246481	112.4331558	34.7114141
Skanderbeg Square	7327142	19.8176845	41.3280130
Calonge de Segarra	348822	1.4881707	41.7486035
Santa Rita do Sapucaí	315250	-45.6969181	-22.2400170
Vinalhaven Island	5581421	-68.8572223	44.0817790
Hagnau am Bodensee	2783927	9.3178110	47.6785657
Santa María de la Isla	344175	-5.9248769	42.3614038
Limoeiro de Anadia	6186253	-36.4596667	-9.7420000
São Salvador do Campo	5937398	-8.3494124	41.3578793
Hontianska Vrbica	2217983	18.7190475	48.1417321
Sector Macaracuay	5451393	-66.8160593	10.4657522
Distrito de Ibiaporã	6119409	-40.7903020	-12.0449788
Rosenau am Hengstpaß	898230	14.4144147	47.7276611
Kalevala District	1020368	31.6156448	65.0329482
Pawłowice Namysłowskie	4631550	17.7133105	51.1559528
Taraclia District	1699033	28.6229195	45.8973216
Oberdielbach-Post	4286527	9.0523110	49.4359605
Senftenberger See	58289	14.0120886	51.4954257
Majdan Trzebieski	7660215	22.0302480	51.1754433
Hamadoni District	3281951	69.5598301	37.7197113
Kilmacleague West	5651639	-7.0788359	52.1708714
Ballymacloughlin	5748837	-9.1157754	53.8130995
Newcastle Demesne	4473544	-6.5183487	53.2966661
Derreenatloghtan	4778148	-8.9370622	53.0602170
Kilnamanagh Upper	2461715	-6.3866344	52.5127896
Lahesheragh North	6270007	-9.6158345	52.5183419
Ubuhlebezwe Ward 7	3651589	30.3652635	-30.2475724
1re Fonds de Lianes	407743	-73.2539117	18.4464211
Ballyrickard More	4261423	-7.8070648	52.9964236
Great Cressingham	1022507	0.7290171	52.5837475
Farrannasculloge	5573219	-9.1991604	54.1508474
Kiltubbrid Island	4245711	-7.7560682	53.1236469
Mookgophong Ward 1	3663259	28.6008275	-24.2792311
Ballynacorra East	6122508	-8.1544855	51.8931502
Pasteur, Rousseau	1845292	2.4606254	48.8469456
Ballyrickard More	4217504	-5.8852876	54.8122090
9e Fonds des Blancs	409991	-73.1307590	18.2871217
Carrigenagh Upper	4549908	-5.9978658	54.1304895
Knocknagarrivhan	3440942	-9.5039054	53.3568082
Straszewy-Leśniczówka	6881011	19.7659387	53.3300673
Killybegs Demesne	4135435	-6.7358777	53.2775363
Wells-Next-the-Sea	1022463	0.8511576	52.9597387
Shepton Beauchamp	2859719	-2.8490475	50.9534101
Drayton Beauchamp	3089294	-0.6888120	51.7935006
Lappentascherhof	6598299	7.3148967	49.3279962
Ardsheelhane West	6270910	-9.8875913	51.8593296
Ballaghmore Lower	4501963	-7.7110089	52.9500014
Stratford St. Mary	4565079	0.9828670	51.9743484
Metsimaholo Ward 7	3597028	27.8632784	-26.8269950
Hontianska Vrbica	2217808	18.7190475	48.1417321
Alexandre Bertoni	7080051	-48.1852371	-21.7955894
Magherashanvally	5553251	-7.5888232	54.8308110
Bomackatall Upper	4204141	-7.5128151	54.6424361
Ingquza Hill Ward 1	3594060	29.2565993	-31.2964066
Onkaparinga Hills	7276131	138.5719361	-35.1373031
Carrownamallaght	5838114	-8.8937200	53.7880665
Saldanha Bay Ward 10	6582500	17.9844700	-32.9219044
Reanacoolagh West	5515120	-8.0127576	52.1781314
Ambohimiarintsoa	7741760	46.7454457	-19.0956480
Epping Industria 1	2036908	18.5328976	-33.9341641
Embalse de Aguilar	5489575	-4.3217761	42.8158749
Cannoneers Island	1576041	30.2146404	59.9004198
Limoeiro de Anadia	303767	-36.4596667	-9.7420000
Morro Cabeça no Tempo	302835	-43.9413088	-9.7721522
Beersheba Springs	197145	-85.6692865	35.4623480
Vila Oficina Ramos	5745052	-53.8228749	-29.6808475
Federation Estate	2292445	144.8078879	-37.7967191
