Neuilly-sur-Seine	85802	2.2684742	48.8860626
Vierville-sur-Mer	131226	-0.9003634	49.3678554
Neufvy-sur-Aronde	1359817	2.6524208	49.5108755
Montlay-en-Auxois	139502	4.2780888	47.3354213
Gumbrechtshoffen	1159653	7.6240080	48.9040437
Rochetaillée-sur-Saône	116935	4.8390239	45.8427493
Castelnau-Pégayrols	106741	2.9127144	44.1454588
Saint-Jean-d'Alcapiès	76197	2.9650858	43.9507913
Saint-Cyr-du-Gault	276767	1.0260421	47.6154257
Annaberg-Buchholz	536625	13.0133815	50.5724418
Savigny-sous-Faye	144880	0.2810696	46.8709213
Mesorregião de Bauru	4782236	-48.9996945	-22.4850000
Kecamatan Umalulu	7231757	120.6182159	-9.8665733
Santiago Niltepec	6000097	-94.5844319	16.5198317
Santiago Yaitepec	6000114	-97.2384657	16.2123306
Pachalik de Zagora	5151093	-5.8371629	30.3516746
Landkreis Gifhorn	62647	10.6614355	52.5780980
powiat krakowski	2654452	19.7077567	50.0999222
Berrocal de Huebra	345838	-6.0069005	40.7073318
Meijiang District	3241974	116.1270696	24.2729737
Valle di Maddaloni	41070	14.4151970	41.0794565
Dunaszentbenedek	1130339	18.8911511	46.5974659
powiat tucholski	1283562	17.9249004	53.5815261
La Chapelle-Fortin	2015623	0.8585124	48.6485980
La Motte-Chalancon	240511	5.3899601	44.5010791
Gemeinde Kreuttal	107295	16.4799670	48.4507295
Agia Municipality	2246175	22.7285839	39.7201683
caïdat de Bouzemlane	4784717	-4.4855347	33.9789908
caïdat de Sidi Ettiji	5369284	-8.9138695	32.0926480
Phangnga Province	1908799	98.3435344	8.4656915
Rietavo savivaldybė	1129075	22.0024769	55.7240783
Rubielos de la Cérida	340242	-1.2081698	40.7671557
Vadillo de la Guareña	341373	-5.3415349	41.2882292
powiat grodziski	2692538	16.3771168	52.1603762
Cellino Attanasio	42080	13.8550246	42.5880943
Arenzana de Arriba	344002	-2.6900044	42.3717028
Dobropillia Raion	1742301	37.2721303	48.4740861
Estero El Naranjal	6554059	-87.8783243	13.3839119
Lac Gabriel-Fleury	3105279	-73.6357931	49.1395415
"Laguna"" Chantuto"""	4063628	-92.8940570	15.2502214
Saucepan Hill Pond	1855784	-55.1208438	47.3306528
Lough Ahalia North	2554120	-9.5565079	53.3994739
Neuendorfer Teich	2736285	14.4313843	51.8312634
Represa de José Jorge	4714608	-50.3270393	-22.8699510
Lake Gowlanagower	7376148	-10.1960222	53.6285981
Lough Nevreaghoge	2551857	-9.7383548	53.4389243
Balbina Reservoir	65634	-60.0763236	-1.4743290
Siekierki Wielkie	7803734	17.1573052	52.3818001
Kõrgessaare osavald	350685	22.5720445	58.9770346
Ward Prairie Lakes	2213823	-94.7859693	30.4085414
Little Friday Lake	6498194	-81.4120088	47.0665789
Island Lake Slough	1951344	-86.2287520	46.0115073
Parroquia Quinimarí	3450156	-72.3742859	7.4782194
Sarchinger Weiher	58412	12.2515435	49.0087295
Helena-West Helena	111232	-90.6077927	34.5346049
Lac Roc-Causacouta	1519238	-73.5832814	47.1524319
Spruce Island Lake	899489	-93.6541067	47.4617256
